metric,in_OPPOSITE_DIRECTION_METRICS,looks_opposite_direction,status,n_adv,n_ele,mean_adv,mean_ele,median_adv,median_ele,std_adv,std_ele,ttest_stat,ttest_pval
PLL_bert-base-uncased,False,False,OK,162,162,280.1535,196.4738,273.905,188.3266,85.9496,63.495,9.967,1.4319302156122522e-20
PPL Pythia 70M,False,False,OK,162,162,191.1871,138.9526,140.2191,111.2352,180.326,95.7165,3.257,0.0012479376174447303
mean_entropy_pythia,False,False,OK,162,162,7.325,7.201,7.2069,7.0917,0.6802,0.6379,1.692,0.09153137654401619
word_length,False,False,OK,162,162,4.7709,4.5763,4.7622,4.5758,0.3092,0.3034,5.719,2.453109493499213e-08
wordFreq_frequency,False,False,OK,162,162,11.2751,10.9875,11.2124,10.9104,0.7293,0.6895,3.647,0.0003094888586765116
UID_superlin_1.25_gpt2,False,False,OK,162,162,10.6501,10.566,10.3873,10.4406,1.4477,1.3488,0.541,0.5889971374219456
UID_superlin_1.5_gpt2,False,False,OK,162,162,18.0654,17.8512,17.348,17.434,3.0676,2.8963,0.646,0.5185468126699728
UID_superlin_2_gpt2,False,False,OK,162,162,54.8827,53.8303,51.2459,51.3467,13.8984,13.5697,0.69,0.49094747606951605
UID_var_sent_gpt2,False,False,OK,162,162,13.6261,12.9721,11.8313,11.0216,5.8128,6.261,0.974,0.3306071546081797
UID_var_lang_gpt2,False,False,OK,162,162,18.8936,18.0585,16.1219,15.3149,8.6363,8.8044,0.862,0.3894190964325678
UID_local-var_gpt2,False,False,OK,162,162,23.5442,21.7307,20.5736,18.073,9.4807,10.1629,1.661,0.09773253263349826
UID_max_gpt2,False,False,OK,162,162,24.0048,23.1363,22.4003,21.1368,7.5485,7.6495,1.029,0.3044766892772909
UID_superlin_1.25_pythia,False,False,OK,162,162,12.5256,12.243,12.1988,11.8996,1.5189,1.4158,1.732,0.08417700143754302
UID_superlin_1.5_pythia,False,False,OK,162,162,21.8539,21.2257,21.1809,20.4225,3.3364,3.1223,1.75,0.08111414784128287
UID_superlin_2_pythia,False,False,OK,162,162,70.1803,67.3347,66.1014,63.5552,16.0561,15.2695,1.635,0.10310108492288428
UID_var_sent_pythia,False,False,OK,162,162,16.4189,15.3799,14.0274,13.2224,6.8919,7.0172,1.344,0.17973506335818915
UID_var_lang_pythia,False,False,OK,162,162,22.1969,20.5554,19.1895,17.6659,9.786,9.5467,1.528,0.12743489982860715
UID_local-var_pythia,False,False,OK,162,162,29.5363,27.1973,26.0497,22.425,11.5736,12.1661,1.773,0.07718401293322766
UID_max_pythia,False,False,OK,162,162,26.7525,25.5602,26.0117,24.6484,8.0727,8.119,1.325,0.18596143352391423
avg_UID_superlin_1.25_gpt2,False,False,OK,162,162,8.1031,7.9889,7.9227,7.7438,1.4151,1.3649,0.739,0.4603188729529629
avg_UID_superlin_1.5_gpt2,False,False,OK,162,162,13.5094,13.2375,13.0891,12.637,2.8827,2.7832,0.864,0.38828659616023775
avg_UID_superlin_2_gpt2,False,False,OK,162,162,39.906,38.6614,37.1616,35.9252,11.9852,11.6321,0.948,0.34359471334133596
avg_UID_var_sent_gpt2,False,False,OK,162,162,13.5188,12.6162,12.3643,11.505,3.9395,4.0081,2.044,0.04175144886346964
avg_UID_var_lang_gpt2,False,False,OK,162,162,15.7591,14.8492,13.8388,13.1053,6.5779,6.5215,1.25,0.2120707180242768
avg_UID_local-var_gpt2,False,False,OK,162,162,27.4195,25.4941,25.2893,23.9936,7.9937,8.0914,2.155,0.03193401824903869
avg_UID_max_gpt2,False,False,OK,162,162,13.7463,12.9844,13.2238,12.5757,2.0662,2.1629,3.242,0.001310989338606681
avg_UID_superlin_1.25_pythia,False,False,OK,162,162,9.7817,9.5268,9.5415,9.4012,1.5573,1.4787,1.511,0.13184841632407215
avg_UID_superlin_1.5_pythia,False,False,OK,162,162,16.7703,16.2195,16.2507,15.952,3.2525,3.0826,1.564,0.1187276754016029
avg_UID_superlin_2_pythia,False,False,OK,162,162,52.1123,49.7703,49.0491,47.6532,14.0546,13.3325,1.539,0.12486416648022076
avg_UID_var_sent_pythia,False,False,OK,162,162,16.1976,15.0652,15.6653,14.5472,4.2126,4.219,2.417,0.01618820474457127
avg_UID_var_lang_pythia,False,False,OK,162,162,18.8262,17.5923,17.1262,16.2283,7.1481,6.8919,1.582,0.11471656107349393
avg_UID_local-var_pythia,False,False,OK,162,162,33.4313,30.7135,31.7563,29.2326,9.2552,9.2847,2.639,0.008728403669709103
avg_UID_max_pythia,False,False,OK,162,162,15.1832,14.3319,15.0056,14.0733,1.9212,2.0113,3.895,0.00011934179893856924
total_slor_gpt2,False,False,OK,162,162,3.462,3.4451,3.454,3.4677,0.4615,0.4557,0.331,0.7406992128456096
average_slor_gpt2,False,False,OK,162,162,2.746,2.6112,2.7716,2.5989,0.5517,0.5361,2.231,0.026373722559975582
total_slor_pythia,False,False,OK,162,162,2.6543,2.7009,2.6522,2.6972,0.4371,0.4219,-0.976,0.32989913764793144
average_slor_pythia,False,False,OK,162,162,1.8923,1.8285,1.9225,1.823,0.5316,0.5159,1.096,0.27374621063366145
llama-3.3-70b-versatile_simple_prompt,False,False,OK,162,162,8.8642,7.8333,9.0,8.0,0.5738,0.9003,12.29,9.993113678506646e-29
gpt-4o_simple_prompt,False,False,OK,162,162,9.5926,7.9136,10.0,8.0,1.6018,1.4676,9.837,3.890630527640117e-20
gpt-5_simple_prompt,False,False,OK,162,162,10.5123,8.1975,11.0,8.0,1.3009,1.6107,14.23,5.468464057086125e-36
gemini-2.0-flash_simple_prompt,False,False,OK,162,162,7.6173,5.7963,7.0,6.0,1.1374,1.064,14.881,1.7562065412400505e-38
gemini-2.5-pro_simple_prompt,False,False,OK,162,162,9.9444,7.7407,10.0,8.0,1.2769,1.4254,14.657,1.2778912231687978e-37
claude-sonnet-4-0_simple_prompt,False,False,OK,162,162,9.3951,7.8025,10.0,8.0,1.0884,0.9112,14.28,3.523885915569058e-36
llama-3.3-70b-versatile_clear_prompt,False,False,OK,162,162,39.7284,29.5556,40.0,30.0,8.9074,10.7576,9.271,2.7492367776349898e-18
gpt-4o_clear_prompt,False,False,OK,162,162,33.2593,21.8272,35.0,20.0,14.3871,12.757,7.567,4.037394602244309e-13
gpt-5_clear_prompt,False,False,OK,162,162,39.3519,28.4383,38.0,28.0,8.7778,6.2534,12.889,6.188484796545693e-31
gemini-2.0-flash_clear_prompt,False,True,MISSING,162,162,64.142,65.2531,65.0,65.0,1.9236,3.0591,-3.914,0.00011099051098191092
gemini-2.5-pro_clear_prompt,False,False,OK,162,162,35.8025,17.821,35.0,15.0,15.3392,8.2507,13.14,7.153778344888374e-32
claude-sonnet-4-0_clear_prompt,False,False,OK,162,162,26.0494,20.5556,25.0,25.0,8.4595,4.9844,7.122,7.004625353415641e-12
llama-3.3-70b-versatile_clear_specific_prompt,False,False,OK,162,162,37.1296,28.6852,36.0,30.0,7.4142,8.5918,9.471,6.191558035431467e-19
gpt-4o_clear_specific_prompt,False,False,OK,162,162,31.0494,21.0185,30.0,20.0,14.072,11.1185,7.119,7.126918411857028e-12
gpt-5_clear_specific_prompt,False,False,OK,162,162,36.1296,24.9691,36.0,24.0,7.5528,5.8165,14.901,1.4745560782976206e-38
gemini-2.0-flash_clear_specific_prompt,False,False,OK,162,162,62.2222,60.8642,60.0,60.0,2.5146,1.9766,5.404,1.2691759702646593e-07
gemini-2.5-pro_clear_specific_prompt,False,False,OK,162,162,26.463,12.6049,23.5,12.0,12.6344,5.8674,12.662,4.283915638916857e-30
claude-sonnet-4-0_clear_specific_prompt,False,False,OK,162,162,26.1358,21.1111,25.0,25.0,8.6005,4.8901,6.464,3.770482078193219e-10
Pythia 70M Mean,False,False,OK,162,162,5.0344,4.7808,4.9431,4.7116,0.5985,0.5181,4.079,5.7046928954122084e-05
