metric,in_OPPOSITE_DIRECTION_METRICS,looks_opposite_direction,status,n_adv,n_ele,mean_adv,mean_ele,median_adv,median_ele,std_adv,std_ele,ttest_stat,ttest_pval
UID_var_lang_pythia,False,False,OK,884,790,33.9534,32.4876,23.7244,22.5593,33.5287,32.3637,0.908,0.3641689097187709
UID_local-var_pythia,False,False,OK,884,790,37.7892,35.4806,25.6564,23.8062,45.1087,38.6176,1.118,0.2636558294893241
UID_max_pythia,False,False,OK,884,790,19.948,19.1884,17.5264,16.8672,7.5395,7.384,2.078,0.03786305064428255
avg_UID_superlin_1.25_gpt2,False,False,OK,884,790,8.2145,8.1012,7.671,7.5131,2.6343,2.6482,0.876,0.3810566457714213
avg_UID_superlin_1.5_gpt2,False,False,OK,884,790,13.7343,13.4676,12.5398,12.1435,5.3862,5.4398,1.007,0.3143085289280843
avg_UID_superlin_2_gpt2,False,False,OK,884,790,40.8212,39.6247,35.4326,33.4569,22.6072,23.024,1.072,0.28404848483800665
avg_UID_var_sent_gpt2,False,False,OK,884,790,13.8059,12.9177,11.8071,10.7507,7.6998,7.5371,2.38,0.0174442686692938
avg_UID_var_lang_gpt2,False,False,OK,884,790,16.2151,15.3562,12.6482,11.6934,12.8306,13.281,1.345,0.17885869577008287
avg_UID_local-var_gpt2,False,False,OK,884,790,28.1246,26.2102,24.5399,22.4432,16.1449,15.5501,2.464,0.013826386417974982
avg_UID_max_gpt2,False,False,OK,884,790,13.727,13.0688,12.8748,12.0959,3.962,3.8603,3.435,0.0006073478921770208
avg_UID_superlin_1.25_pythia,False,False,OK,884,790,9.9034,9.6693,9.3176,9.0041,2.9764,2.9909,1.603,0.10910727777941949
avg_UID_superlin_1.5_pythia,False,False,OK,884,790,17.0257,16.5238,15.7683,15.1032,6.242,6.2967,1.636,0.10212418295259983
avg_UID_superlin_2_pythia,False,False,OK,884,790,53.2199,51.1319,47.2881,44.263,27.2562,27.6576,1.554,0.12040750083671092
avg_UID_var_sent_pythia,False,False,OK,884,790,16.5279,15.5234,14.3261,13.3475,8.6953,8.5225,2.382,0.017346423400272606
avg_UID_var_lang_pythia,False,False,OK,884,790,19.3622,18.2966,15.6004,14.2812,14.3935,14.7525,1.494,0.13524718929377985
avg_UID_local-var_pythia,False,False,OK,884,790,34.1466,31.7544,29.3128,26.9045,19.5326,18.9702,2.536,0.011312838524481339
avg_UID_max_pythia,False,False,OK,884,790,15.1728,14.465,14.5376,13.6738,3.8844,3.8385,3.743,0.0001880737780501995
total_slor_gpt2,False,False,OK,884,790,2.7122,2.6532,2.7705,2.7016,0.9533,0.9236,1.281,0.20023422510247274
average_slor_gpt2,False,False,OK,884,790,2.6776,2.5567,2.7327,2.6126,0.9892,0.9481,2.547,0.010958333358864928
total_slor_pythia,False,False,OK,884,790,1.8554,1.8534,1.9586,1.9565,0.9818,0.9497,0.044,0.9650881615921136
average_slor_pythia,False,False,OK,884,790,1.8215,1.7626,1.9317,1.8688,1.0161,0.9709,1.208,0.227129354486715
llama-3.3-70b-versatile_simple_prompt,False,False,OK,884,790,7.6369,6.4076,8.0,6.0,1.6861,1.6845,14.898,3.165323674860117e-47
gpt-4o_simple_prompt,False,False,OK,884,790,8.0147,6.462,8.0,6.0,2.7129,2.4967,12.136,1.5178577044464125e-32
gpt-5_simple_prompt,False,False,OK,884,790,9.0441,7.4506,10.0,8.0,2.941,2.94,11.069,1.5697342919984232e-27
gemini-2.0-flash_simple_prompt,False,False,OK,884,790,5.7636,4.3633,6.0,4.0,2.2041,1.9339,13.744,8.348515810052394e-41
gemini-2.5-pro_simple_prompt,False,False,OK,884,790,7.8428,5.8544,8.0,6.0,2.8082,2.5962,14.985,1.0033046537131206e-47
claude-sonnet-4-0_simple_prompt,False,False,OK,884,790,8.2048,6.9747,8.0,8.0,1.8743,1.7976,13.666,2.2071063904204624e-40
llama-3.3-70b-versatile_clear_prompt,False,False,OK,884,790,12.6878,6.1671,5.0,5.0,12.6792,6.1277,13.148,1.2095749632658163e-37
gpt-4o_clear_prompt,False,False,OK,884,790,17.6335,10.2608,15.0,5.0,15.5539,10.2355,11.312,1.2144741216464412e-28
gpt-5_clear_prompt,False,False,OK,884,790,23.5769,15.1747,20.0,12.0,15.0832,10.0525,13.247,3.6538101271971447e-38
gemini-2.0-flash_clear_prompt,False,True,MISSING,883,790,67.2027,70.9861,65.0,70.0,6.5594,7.7878,-10.781,3.017798936119867e-26
gemini-2.5-pro_clear_prompt,False,False,OK,884,790,20.6821,8.6405,12.0,5.0,20.7669,9.5955,14.935,1.9412481218563187e-47
claude-sonnet-4-0_clear_prompt,False,False,OK,884,790,20.2149,16.5785,15.0,15.0,8.3671,4.3516,10.962,4.72263210597865e-27
llama-3.3-70b-versatile_clear_specific_prompt,False,False,OK,884,790,15.1923,8.8937,10.0,10.0,11.1597,6.4029,13.944,6.843907924440501e-42
gpt-4o_clear_specific_prompt,False,False,OK,884,790,16.6301,9.8595,10.0,5.0,15.1116,9.4002,10.855,1.418219550177459e-26
gpt-5_clear_specific_prompt,False,False,OK,884,790,20.6946,13.5013,20.0,12.0,13.0599,8.4245,13.217,5.236427392713149e-38
gemini-2.0-flash_clear_specific_prompt,False,True,MISSING,883,790,60.5663,63.4797,60.0,60.0,14.3003,15.721,-3.969,7.512166283413556e-05
gemini-2.5-pro_clear_specific_prompt,False,False,OK,884,790,15.7183,6.4772,10.0,5.0,16.2235,6.7093,14.911,2.668554368500307e-47
claude-sonnet-4-0_clear_specific_prompt,False,False,OK,884,790,20.6188,16.3468,15.0,15.0,9.0791,4.325,12.058,3.6290148887231055e-32
Pythia 70M Mean,False,False,OK,884,790,5.8648,5.6869,5.5915,5.3826,1.4638,1.4443,2.498,0.01258675586305446
