text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_2_6,Ele,115.52385057471264,126.0,196.7807146353402,60,3480
1_3_1,Adv,114.8604938271605,131.0,194.50243902439024,60,4860
1_3_1,Ele,108.83333333333333,117.0,194.85773768216515,60,5160
1_3_2,Adv,131.92543859649123,147.0,199.19867549668874,60,4560
1_3_2,Ele,127.99794871794872,144.0,198.8812749003984,60,3900
1_3_3,Adv,117.32672955974843,134.0,192.36865171435937,60,6360
1_3_3,Ele,105.01982456140351,103.5,191.3112815596037,60,5700
1_3_4,Adv,115.40501474926253,126.0,198.99440488301119,60,6780
1_3_4,Ele,108.54029535864979,118.0,189.70538348082596,60,4740
1_3_5,Adv,119.679375,134.0,198.32936302433973,60,9600
1_3_5,Ele,113.28719806763284,129.5,192.84909539473685,60,4140
1_4_1,Adv,115.85870967741936,128.0,193.96687668766876,60,9300
1_4_1,Ele,116.23932291666667,132.0,191.36505894962485,60,7680
1_4_2,Adv,119.21930379746836,132.0,198.24574636028768,60,9480
1_4_2,Ele,112.74101654846336,125.0,191.02523532946125,60,8460
1_4_3,Adv,126.61305031446541,139.0,197.31903945111492,60,6360
1_4_3,Ele,117.3579268292683,133.0,193.56386188400938,60,4920
1_4_4,Adv,123.99685534591195,137.0,196.14160172442382,60,9540
1_4_4,Ele,119.81449864498644,132.0,197.68186899172815,60,7380
1_4_5,Adv,120.37253787878788,136.0,194.8396689147762,60,5280
1_4_5,Ele,118.80658914728683,132.0,190.62251243781094,60,5160
1_5_1,Adv,111.87777777777778,121.0,194.179188429088,60,4320
1_5_1,Ele,105.04516908212561,108.0,189.163549369291,60,4140
1_5_2,Adv,112.73430735930737,125.0,193.69003346969134,60,9240
1_5_2,Ele,112.47922885572139,123.0,194.14620008587377,60,8040
1_5_3,Adv,133.9008695652174,149.0,200.41561822125814,60,6900
1_5_3,Ele,120.89272030651341,137.0,192.63125763125763,60,5220
1_5_4,Adv,125.48536324786325,141.0,197.2033243787777,60,9360
1_5_4,Ele,121.72484848484848,137.0,198.07297830374753,60,6600
1_5_5,Adv,123.74341563786008,139.0,197.50180623973728,60,4860
1_5_5,Ele,134.24413145539907,148.0,198.9839944328462,60,4260
1_6_1,Adv,117.40387596899225,134.0,192.31873015873015,60,5160
1_6_1,Ele,115.86639344262295,125.0,194.4387895460798,60,3660
1_6_2,Adv,119.18654970760234,134.0,193.82691393247742,60,6840
1_6_2,Ele,116.49267912772585,134.0,189.81802030456853,60,6420
1_6_3,Adv,121.93083333333334,136.0,195.14137103227526,60,6000
1_6_3,Ele,124.70093632958802,138.0,197.36307053941908,60,5340
1_6_4,Adv,111.50220125786163,120.0,195.09050894085283,60,6360
1_6_4,Ele,105.44567307692307,115.0,187.24558907228229,60,6240
1_7_1,Adv,104.81798245614036,100.0,193.6669367909238,60,9120
1_7_1,Ele,108.48457711442786,120.0,187.97758620689655,60,8040
1_7_2,Adv,106.51504975124378,110.0,192.35871518418688,60,8040
1_7_2,Ele,109.95820512820512,119.0,189.03989420321798,60,7800
1_7_3,Adv,120.13682432432432,135.0,192.5311315646995,60,8880
1_7_3,Ele,112.87148760330578,123.0,193.12915390054206,60,7260
1_7_4,Adv,105.18493589743589,109.0,191.84158222915042,60,9360
1_7_4,Ele,104.09365671641791,102.0,190.42389078498294,60,8040
1_8_1,Adv,105.273828125,109.0,188.33053808525506,60,7680
1_8_1,Ele,102.08236111111111,104.0,183.10737419033384,60,7200
1_8_2,Adv,126.44423558897243,139.0,195.16924564796906,60,7980
1_8_2,Ele,123.38003003003003,139.0,193.89122227465785,60,6660
1_8_3,Adv,111.09673423423423,123.0,191.04163439194423,60,8880
1_8_3,Ele,108.58303886925795,112.0,193.99621212121212,60,7075
1_8_4,Adv,120.00673758865248,133.0,195.58023502215372,60,8460
1_8_4,Ele,111.09661835748793,120.0,192.96832389343402,60,8280
1_8_5,Adv,123.68552188552188,138.0,196.91557223264542,60,5940
1_8_5,Ele,121.9890243902439,137.0,191.1420382165605,60,4920
1_9_1,Adv,108.07007575757575,118.0,187.8860717813632,60,5280
1_9_1,Ele,111.29285714285714,125.0,185.63542494042892,60,4200
1_9_2,Adv,121.33633633633633,137.0,194.34824434824435,60,6660
1_9_2,Ele,125.10935875216637,140.5,197.99259462424575,60,5770
1_9_3,Adv,114.5774647887324,130.0,187.65859284890428,60,4260
1_9_3,Ele,109.6198275862069,121.0,186.90690837824596,60,3480
1_9_4,Adv,121.82734082397003,137.0,194.31242532855435,60,5340
1_9_4,Ele,119.26025641025642,135.5,188.79704262104957,60,5460
1_9_5,Adv,114.84513888888888,127.0,194.56117647058824,60,7200
1_9_5,Ele,119.66688888888889,135.0,194.8267004341534,60,4500
1_9_6,Adv,111.36239669421488,116.0,196.42638483965015,60,7260
1_9_6,Ele,113.27669376693767,125.0,193.64883020616168,60,7380
2_10_1,Adv,100.29649122807018,97.0,183.90762867647058,60,7980
2_10_1,Ele,117.06777777777778,131.0,193.12045037968053,60,6300
2_10_2,Adv,109.25089881869543,122.0,185.3694989106754,60,7788
2_10_2,Ele,126.31135693215339,142.0,198.28455661032646,60,6780
2_10_3,Adv,123.62492877492878,138.0,199.68867924528303,60,7020
2_10_3,Ele,104.00275229357798,102.0,188.41495844875345,60,6540
2_10_4,Adv,126.91359649122808,140.0,203.382885257424,60,9120
2_10_4,Ele,115.14065848431716,130.0,189.00447713463385,59,5133
2_1_1,Adv,129.2063559322034,146.0,196.8964700817908,60,7080
2_1_1,Ele,107.42232704402515,121.0,182.82204977254483,60,6360
2_1_2,Adv,119.66007751937984,133.0,198.7060716584424,60,7740
2_1_2,Ele,107.05754385964913,117.0,185.36695018226,60,5700
2_1_3,Adv,103.33050314465409,112.0,183.00807574491785,60,6360
2_1_3,Ele,115.07986111111111,129.0,191.28318584070797,60,4320
2_1_4,Adv,93.49171717171717,69.0,181.62637362637363,60,9900
2_1_4,Ele,113.19456140350877,123.0,196.0525676086296,60,5700
2_1_5,Adv,109.95113314447592,119.0,188.4114077669903,60,8472
2_1_5,Ele,129.91516393442623,143.0,202.59458883681296,60,7320
