text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_3_3,103,Ele,94.17222222222222,56.5,184.25,60,360
1_3_3,104,Adv,104.91217948717949,116.0,188.98729792147807,60,1560
1_3_3,104,Ele,94.02592592592593,0.0,190.4025,60,1620
1_3_3,105,Adv,117.05151515151515,126.0,193.61904761904762,60,660
1_3_3,105,Ele,90.95277777777778,0.0,189.26589595375722,60,720
1_3_4,106,Adv,124.98623188405797,142.5,198.48216340621403,60,1380
1_3_4,106,Ele,127.47857142857143,149.0,193.28880866425993,60,420
1_3_4,107,Adv,132.10151515151514,149.5,205.62971698113208,60,660
1_3_4,107,Ele,109.86547619047619,119.5,188.34081632653061,60,840
1_3_4,108,Adv,117.54166666666667,133.5,194.10550458715596,60,1080
1_3_4,108,Ele,108.37962962962963,118.0,185.20569620253164,60,1080
1_3_4,109,Adv,103.9859649122807,96.0,191.81877022653723,60,1140
1_3_4,110,Adv,110.03531746031746,103.5,202.84491587417702,60,2520
1_3_4,110,Ele,104.83458333333333,108.0,191.62452399086064,60,2400
1_3_5,111,Adv,133.27166666666668,149.0,194.08495145631068,60,1200
1_3_5,112,Adv,120.32261904761904,135.0,194.3673076923077,60,1680
1_3_5,112,Ele,121.94583333333334,140.5,188.81935483870967,60,960
1_3_5,113,Adv,141.78452380952382,150.0,207.48954703832752,60,840
1_3_5,114,Adv,113.56377551020408,123.0,199.0327868852459,60,5880
1_3_5,114,Ele,110.67327044025157,123.0,194.22792494481237,60,3180
1_4_1,115,Adv,114.15681818181818,133.0,192.44827586206895,60,1320
1_4_1,115,Ele,108.71587301587302,125.0,184.36339165545087,60,1260
1_4_1,116,Adv,113.68181818181819,121.5,198.22985468956406,60,1320
1_4_1,116,Ele,113.13333333333334,125.0,195.53909465020575,60,1260
1_4_1,117,Adv,121.73085106382979,135.0,193.61590524534688,60,2820
1_4_1,117,Ele,121.67020202020203,138.0,190.4403162055336,60,1980
1_4_1,119,Adv,112.8796875,123.0,193.33541480820696,60,3840
1_4_1,119,Ele,117.06949685534592,132.0,193.0918049792531,60,3180
1_4_2,120,Adv,142.9636752136752,158.0,207.39925604463733,60,2340
