text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_5,17,Adv,192.23529411764707,179.0,192.23529411764707,59,3026
1_10_5,17,Ele,188.93293142426526,175.0,188.93293142426526,60,1327
1_10_6,18,Adv,188.94968220338984,178.0,188.94968220338984,60,1888
1_10_6,18,Ele,196.15348837209302,180.0,196.15348837209302,60,1290
1_10_6,19,Adv,192.76006036217305,180.0,192.76006036217305,60,1988
1_10_6,19,Ele,194.87865886109634,178.0,194.87865886109634,60,1879
1_10_6,20,Adv,200.03151862464185,185.0,200.03151862464185,60,1047
1_10_6,20,Ele,200.87213114754098,182.0,200.87213114754098,58,915
1_10_6,21,Adv,198.086118251928,183.0,198.086118251928,58,778
1_10_6,22,Adv,192.76370757180158,181.5,192.76370757180158,59,766
1_10_6,22,Ele,188.75125628140702,174.0,188.75125628140702,58,796
1_10_6,23,Adv,190.6068075117371,177.0,190.6068075117371,58,852
1_10_7,24,Adv,189.55338691159588,178.0,189.55338691159588,60,1742
1_10_7,24,Ele,190.76044568245126,177.0,190.76044568245126,60,718
1_10_7,25,Adv,192.26928281461434,175.0,192.26928281461434,60,2217
1_10_7,25,Ele,190.45865490628447,176.0,190.45865490628447,60,1814
1_10_7,26,Adv,192.32926829268294,179.0,192.32926829268294,59,984
1_10_7,26,Ele,188.58309037900875,175.0,188.58309037900875,59,1029
1_10_7,27,Adv,187.2391304347826,173.0,187.2391304347826,60,1702
1_10_7,27,Ele,184.46788413098236,171.5,184.46788413098236,59,1588
1_1_1,28,Adv,196.39655172413794,183.0,196.39655172413794,60,1624
1_1_1,28,Ele,193.86759045419552,178.0,193.86759045419552,60,1299
1_1_1,29,Adv,190.79385610347614,175.0,190.79385610347614,60,1237
1_1_1,29,Ele,181.8403846153846,170.5,181.8403846153846,60,1040
1_1_1,30,Adv,188.35681669928246,178.0,188.35681669928246,60,1533
1_1_1,30,Ele,182.1612641815235,172.0,182.1612641815235,59,1234
1_1_1,31,Adv,200.07688364941055,186.0,200.07688364941055,60,1951
1_1_1,31,Ele,193.0474083438685,178.0,193.0474083438685,59,1582
1_1_2,32,Adv,196.2529224229543,182.0,196.2529224229543,60,941
1_1_2,33,Adv,197.42985074626867,185.0,197.42985074626867,59,670
1_1_2,33,Ele,196.27437325905294,181.5,196.27437325905294,60,718
1_1_2,34,Adv,188.30445544554456,176.0,188.30445544554456,60,2020
1_1_2,34,Ele,192.40669371196753,179.0,192.40669371196753,60,1972
1_1_2,35,Adv,184.94791666666666,175.0,184.94791666666666,60,576
1_1_2,35,Ele,186.8763888888889,172.5,186.8763888888889,60,720
1_1_2,36,Adv,187.01512605042018,177.0,187.01512605042018,60,595
1_1_2,36,Ele,187.48736998514116,175.0,187.48736998514116,59,673
