text_id,align_idx,diff_CAREC,diff_CAREC_M,diff_CARES,diff_CML2RI,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_ARI,diff_linsear_formula,diff_difficult_words_count,diff_syllable_count,diff_lexicon_count,diff_sentence_count,diff_char_count,diff_letter_count,diff_polysyllabcount,diff_monosyllabcount,diff_fernansex_huerta,diff_szigriszt_pazos,diff_gutierrez_polini,diff_crawford,diff_cpidr_density,diff_depid_density,diff_max_embedding_depth,diff_avg_embedding_depth,diff_mean_entropy,diff_mean_entropy_sents,diff_word_length,diff_wordFreq_frequency,diff_gpt2_surprisal,diff_Wordfreq_Frequency,diff_Length,diff_TF,diff_CML2RI_(-),diff_flesch_reading_ease_(-),diff_lexicon_count_(-),diff_monosyllabcount_(-),diff_fernansex_huerta_(-),diff_szigriszt_pazos_(-),diff_gutierrez_polini_(-),diff_wordFreq_frequency_(-)
1_10_5,16,0.09007000000000001,0.0834,0.0896358686435574,-4.066633406666668,-27.750000000000007,8.600000000000001,6.85,3.2200000000000006,0.0,1.9399999999999995,10.600000000000001,14.0,2.0,15.0,7.0,-1.0,43.0,43.0,2.0,1.0,-25.379999999999995,-28.63000000000001,-9.519999999999996,1.7999999999999998,-0.06720430107526887,-0.09005376344086025,1.0,1.5,0.2928752053208088,0.04823868076683091,0.3927927927927932,0.1952074,0.29356095158843676,0.029256819356874075,0.295698924731183,197.63295250896056,4.066633406666668,27.750000000000007,-7.0,-1.0,25.379999999999995,28.63000000000001,9.519999999999996,-0.1952074
1_10_5,17,0.011080000000000007,-0.009770000000000001,0.1613553479650032,-1.9701968953333235,-26.39,10.1,10.4,-0.21999999999999975,0.0,0.6900000000000013,12.000000000000002,14.0,1.0,32.0,26.0,0.0,107.0,105.0,1.0,22.0,-26.519999999999996,-22.409999999999997,-7.799999999999997,0.10000000000000009,0.05769230769230771,0.010159651669085668,2.0,2.0,-0.4679934944323527,-0.4679934944323527,0.19774011299435035,0.152216350678,-0.2851141004304303,-0.177536302132566,-0.12791702679343064,147.40596061242127,1.9701968953333235,26.39,-26.0,-22.0,26.519999999999996,22.409999999999997,7.799999999999997,-0.152216350678
1_10_6,18,-0.04335,-0.05135000000000001,0.009445649365826786,-1.8299782120300774,-16.580000000000005,4.200000000000001,5.49,0.120000000000001,0.0,0.5,3.8000000000000007,6.0,2.0,13.0,8.0,0.0,39.0,38.0,2.0,6.0,-14.159999999999997,-13.789999999999992,-2.529999999999994,0.8000000000000003,-0.02857142857142858,0.021428571428571352,2.0,2.0,-0.00602400043540019,-0.00602400043540019,-0.004076086956521507,0.1091093,-0.540444238008682,-0.5767962080560523,-0.02857142857142847,-103.91666666666669,1.8299782120300774,16.580000000000005,-8.0,-6.0,14.159999999999997,13.789999999999992,2.529999999999994,-0.1091093
1_10_6,19,0.0122,0.03096,-0.060215649683183305,-1.6989699166666696,-14.719999999999999,5.699999999999999,5.88,0.07999999999999918,0.0,0.9700000000000006,6.499999999999999,8.75,-1.0,-4.0,-2.0,-1.0,-14.0,-13.0,0.0,0.0,-14.790000000000006,-11.450000000000003,-3.6799999999999997,0.40000000000000013,0.03323558162267837,0.0635386119257087,2.0,2.5,-0.0391739762271035,-0.8120497117839509,-0.05446428571428541,-0.005906674100000092,0.27974847853451523,-0.4371722761777548,-0.14873805439843135,-80.90637507146943,1.6989699166666696,14.719999999999999,2.0,-0.0,14.790000000000006,11.450000000000003,3.6799999999999997,0.005906674100000092
1_10_6,20,-0.07057000000000001,-0.03456999999999999,-0.0199874409884516,-1.6880728566666647,-2.030000000000001,0.7999999999999998,-1.799999999999999,0.41000000000000014,0.0,-0.6799999999999997,0.5,-0.5,0.0,2.0,2.0,0.0,7.0,9.0,-1.0,1.0,-2.0400000000000063,-0.06999999999999318,-0.9699999999999989,0.0,0.049535603715170295,0.049535603715170295,0.0,0.0,-0.3300672770752646,-0.3300672770752646,0.3333333333333335,-0.012473600000000001,-0.2797137910545766,-1.6611353510862354,0.272460220318238,-135.64337005303958,1.6880728566666647,2.030000000000001,-2.0,-1.0,2.0400000000000063,0.06999999999999318,0.9699999999999989,0.012473600000000001
1_10_6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16097658568485773,-0.16097658568485773,-0.259615384615385,0.0,0.279310816843231,0.05924030167538774,0.01692557384651039,-39.105900765128695,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1_10_7,24,0.04415,0.01815,0.22005375672561528,-0.9444948315476083,-40.27000000000001,11.4,14.91,2.3499999999999996,0.0,0.8000000000000007,11.5,17.5,5.0,36.0,23.0,0.0,104.0,103.0,5.0,16.0,-35.459999999999994,-35.89999999999999,-9.509999999999998,2.1,0.042857142857142816,-0.07142857142857151,2.0,2.0,-0.3250423355250094,-0.3250423355250094,0.451282051282051,0.1673845000000001,-2.076117360364128,-2.3043119655752857,0.15524475524475534,-176.27584082584082,0.9444948315476083,40.27000000000001,-23.0,-16.0,35.459999999999994,35.89999999999999,9.509999999999998,-0.1673845000000001
1_10_7,25,0.14479999999999998,0.13314999999999996,0.0291299185522049,-3.395826525817,-4.400000000000006,5.799999999999999,6.8100000000000005,-2.0100000000000007,0.0,0.3100000000000005,8.100000000000001,12.0,-1.0,1.0,5.0,-1.0,5.0,5.0,-1.0,6.0,-9.420000000000002,-10.319999999999993,-2.479999999999997,-0.10000000000000009,0.04054054054054057,-0.023648648648648685,0.0,0.5,0.012266543140393438,-0.17300738339659016,-0.42500000000000027,0.026590239999999987,0.8328119027506986,0.10543227153240053,-0.5025337837837842,-134.36810247747752,3.395826525817,4.400000000000006,-5.0,-6.0,9.420000000000002,10.319999999999993,2.479999999999997,-0.026590239999999987
1_10_7,26,0.0038499999999999923,0.0018500000000000183,0.0208472936751488,0.0,0.0,0.0,0.0,0.8700000000000001,0.0,0.0,0.6999999999999993,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-1.4600000000000009,0.0,0.0,0.0,0.0,0.0,0.010806037371191124,0.010806037371191124,0.13043478260869534,-0.003953999999999985,0.03372624851763195,0.187811980316539,0.14999999999999947,-110.07083333333335,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4600000000000009,0.003953999999999985
1_10_7,27,0.008840000000000015,-0.0007299999999999529,0.016934571346411798,1.1554666536231863,-3.049999999999997,1.1000000000000014,1.129999999999999,-0.05999999999999961,0.0,-0.040000000000000924,1.1999999999999993,1.5,0.0,3.0,3.0,0.0,10.0,10.0,0.0,3.0,-3.0600000000000023,-2.019999999999996,-0.480000000000004,-0.10000000000000009,-0.0038802660753881058,-0.005543237250554278,0.0,0.0,0.002109645622041967,0.002109645622041967,-0.010139860139859902,0.06551200000000007,-0.07389325173585615,-0.08487469332813369,-0.046560178666795515,-103.4824974510851,-1.1554666536231863,3.049999999999997,-3.0,-3.0,3.0600000000000023,2.019999999999996,0.480000000000004,-0.06551200000000007
