pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,n_bootstraps,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
SkipRateFirstPass,Pythia 6.9B Mean,Adv,0.1536307136944544,0.0600006245814651,4.462861752559594e-06,0.0745815456674351,200,0.15245848146194646,0.06268647230974514,0.009957624879673655,0.168045185231758,0.04542137387326252,0.03596987035144749,0.0895689754581785,0.07093102123533916,***,ns,**,ns
SkipRateFirstPass,Pythia 70M Mean,Adv,0.2109191599044991,0.1470098201697584,2.3952492215975427e-10,1.1408450918579471e-05,200,0.21199790616459244,0.15094974849005435,0.000510981605097329,0.0032494155906187673,0.04353984734118679,0.036550466788567985,0.08585868690007291,0.07207593217908681,***,***,***,**
SkipRateFirstPass,RWKV-4 169M Mean,Adv,0.192720111293097,0.117940449309227,7.645021685800793e-09,0.0004415279429244,200,0.19326897985705074,0.12253581832093952,0.0028246707689976304,0.015664756869375948,0.04568162411020514,0.037015616062074264,0.09008217761605997,0.07299318633303035,***,***,**,*
SkipRateFirstPass,RWKV-4 430M Mean,Adv,0.1777873211067928,0.0983729129353897,1.0321956899328689e-07,0.0034136680624077,200,0.17712227348913573,0.10177188047588619,0.005041219332269762,0.03737554401219675,0.045287715741854355,0.03567218224834845,0.08930540743125603,0.07034399323228782,***,**,**,*
SkipRateFirstPass,Recurrent-Gemma 9B Mean,Adv,0.1322892658349393,0.0458072170290823,7.979071384987115e-05,0.1735978594977571,200,0.13159528022353215,0.048524893521421114,0.020047048258947806,0.25494282856168254,0.04325225427986507,0.03513527507308478,0.08529156588071883,0.06928523561437218,***,ns,*,ns
SkipRateFirstPass,SBERT,Adv,0.0678424312522816,0.0682141056466945,0.0437403950811504,0.0425966345233382,200,0.07230495231010563,0.07308111888002276,0.12496899779879989,0.1263181108478114,0.033969399799228125,0.035330378523206925,0.06698618023831199,0.06966997113964617,*,*,ns,ns
SkipRateFirstPass,avg_embedding_depth,Adv,0.0006030137136012,0.0115308611583901,0.9857158210469488,0.732077402739737,200,0.007535879738191333,0.018971721281213327,0.4865706762145258,0.44446727866193164,0.03401007230214305,0.0355995176978152,0.06706638464660607,0.07020070189632883,ns,ns,ns,ns
SkipRateFirstPass,avg_integration_cost,Adv,0.0470804599292595,0.0449888026777393,0.1619336693052439,0.1814194510462783,200,0.04866088262549703,0.045943340763419896,0.2662869485020705,0.28081525387344874,0.032185332988024555,0.032511174713671355,0.06346807801458096,0.06411062373785968,ns,ns,ns,ns
SkipRateFirstPass,claude-sonnet-4-0_clear_prompt,Adv,0.0720060943957459,0.1194344759721964,0.0323026721215832,0.0003726052627741,200,0.07324293043639991,0.12178427002585604,0.11167209545774918,0.010571307781614041,0.03324720846676348,0.03383866582143348,0.06556205031405814,0.06672837851524407,*,***,ns,*
SkipRateFirstPass,claude-sonnet-4-0_clear_specific_prompt,Adv,0.053405676929928,0.0975993446111011,0.1125691294043682,0.0036764242169195,200,0.05412146736411121,0.0982478255486219,0.2115597163641983,0.04639981348416191,0.03068766933142161,0.035192364999771165,0.060514750365858294,0.0693978144689121,ns,**,ns,*
SkipRateFirstPass,claude-sonnet-4-0_simple_prompt,Adv,0.1132270869013098,0.1441624310692117,0.0007446987103581,1.687391218696462e-05,200,0.11445725247546143,0.14567675607645178,0.017893875977927222,0.003012831137794426,0.0347669529980171,0.034024654786390524,0.06855892048805094,0.0670951406718493,***,***,*,**
SkipRateFirstPass,coleman_liau_index,Adv,0.2798472657399158,0.2719064100158851,2.2780161011683178e-17,1.896686395446195e-16,200,0.2792605814439777,0.2727432613534511,4.4440960746264746e-09,1.0116746203150657e-08,0.033222630717620695,0.03113513710792674,0.0655135840607931,0.06139713737607832,***,***,***,***
SkipRateFirstPass,cpidr_density,Adv,0.0103372734817723,0.0054174926018938,0.7589023216981562,0.8722139817936783,200,0.008802858536143564,0.006758326013131244,0.4631050128679547,0.4788359849817091,0.036546579074233976,0.034965322585152316,0.07206826577536368,0.06895009669358228,ns,ns,ns,ns
SkipRateFirstPass,dale_chall_score,Adv,0.219646611991313,0.2262763470104182,4.0534662336085393e-11,9.990928451704732e-12,200,0.22193373830991675,0.228373445181782,1.7422868339070812e-06,4.901921875384498e-06,0.035019909566083474,0.03276499465393008,0.06905773984786029,0.06461114563011386,***,***,***,***
SkipRateFirstPass,depid_density,Adv,0.06945526683907,0.0739996395925886,0.0389584671391243,0.0278018357255877,200,0.0688922750404859,0.07307411375837304,0.17549862617601292,0.12909869345933642,0.0422163796177334,0.03803824053629174,0.08324886606170614,0.07500975735727311,*,*,ns,ns
SkipRateFirstPass,flesch_kincaid_grade_score,Adv,0.1469997659862354,0.1749681342526747,1.1424376689147894e-05,1.647606424168784e-07,200,0.14692755029556037,0.17497417297669324,0.0014532949074625373,0.00015886059603188819,0.031638318789406275,0.03221632222751344,0.062389389785818296,0.06352918744819237,***,***,**,***
SkipRateFirstPass,flesch_reading_ease,Adv,0.2170815354955848,0.2267490333639504,6.886613167420373e-11,9.026202978495793e-12,200,0.21544804849855143,0.22604407271253474,5.387487018622141e-07,1.771849600459955e-07,0.03177298841435241,0.029326723609454423,0.06265495243404244,0.057831024543056886,***,***,***,***
SkipRateFirstPass,gemini-2.0-flash_clear_prompt,Adv,0.0578725946824459,0.078508224496926,0.0854901292863512,0.0195685841590601,200,0.05677375121714769,0.07832071248597662,0.22012573663181037,0.09270742157648013,0.03652172766341736,0.03268676694669126,0.07201925987317002,0.06445688399088265,ns,*,ns,ns
SkipRateFirstPass,gemini-2.0-flash_clear_specific_prompt,Adv,0.1160525049798331,0.1365770997514634,0.0005456275886453,4.619493275494537e-05,200,0.11903731440186435,0.13936119388129803,0.012966796807320775,0.002847658632165762,0.03537997057636285,0.03347432941649794,0.06976776451340976,0.06600992295722313,***,***,*,**
SkipRateFirstPass,gemini-2.0-flash_simple_prompt,Adv,0.0828359092390115,0.1099007047682524,0.0137534588312238,0.0010645842744547,200,0.0856161082241005,0.11156560955345722,0.08189008153086716,0.024562008228658082,0.036096348446339944,0.03431321043680514,0.07118043054226653,0.06766415987506454,*,**,ns,*
SkipRateFirstPass,gemini-2.5-pro_clear_prompt,Adv,0.050521521553513,0.0913244172432489,0.1333695339677545,0.0065855151398103,200,0.053646059849071476,0.0945377694039022,0.22398028298792214,0.05254196475571818,0.03407710495442795,0.034615958843320374,0.06719857012395768,0.06826116657655333,ns,**,ns,ns
SkipRateFirstPass,gemini-2.5-pro_clear_specific_prompt,Adv,0.049182124588438,0.0858300198814156,0.1439866572863783,0.0106795940275727,200,0.05242970100939936,0.08899913833677556,0.23149610990181674,0.06550209512765971,0.032918018033823514,0.03433314708958943,0.06491290108551788,0.06770347408799293,ns,*,ns,ns
SkipRateFirstPass,gemini-2.5-pro_simple_prompt,Adv,0.1075885819852902,0.1273293862146426,0.0013571363819688,0.0001471215880419,200,0.10937780509867778,0.12950829226428065,0.026258345160621147,0.006534729904815671,0.03619747614710327,0.03407936744257101,0.07137984997359167,0.06720303165225766,**,***,*,**
SkipRateFirstPass,gpt-4o_clear_prompt,Adv,0.0404723479145086,0.1097040202709869,0.2293173029893138,0.0010869943685069,200,0.04260486583496038,0.11260033124243535,0.2875489290673562,0.02152814139098651,0.034488241567313054,0.03592883601694386,0.06800931365831699,0.07085010331087581,ns,**,ns,*
SkipRateFirstPass,gpt-4o_clear_specific_prompt,Adv,0.0056946403123671,0.0576909539900864,0.8657371538864103,0.0864780016903401,200,0.00888259806282243,0.06159506702142581,0.48954500702561865,0.18661428787932025,0.0320660714027969,0.03563506514227043,0.06323289935111373,0.07027079991205368,ns,ns,ns,ns
SkipRateFirstPass,gpt-4o_simple_prompt,Adv,0.1028170882677044,0.1169650828868543,0.0022077502767042,0.0004927469139818,200,0.10429615426836407,0.1186867853760111,0.03249569334317517,0.015299558968823165,0.03532771185672302,0.03317643540023446,0.0696647125892219,0.06542248890235963,**,***,*,*
SkipRateFirstPass,gpt-5_clear_prompt,Adv,0.0517122595484894,0.0782988591145392,0.1244480209466698,0.0198975754327899,200,0.05441623103499477,0.08083144964160727,0.21356571280167128,0.08693895090439925,0.03519620227048428,0.03479980527206042,0.06940538140000688,0.06862370374484414,ns,*,ns,ns
SkipRateFirstPass,gpt-5_clear_specific_prompt,Adv,0.0515981923211104,0.0902688646367866,0.1252819975197498,0.007240552572169,200,0.05571446864503127,0.09356118790612991,0.20073028690406655,0.04840168292312653,0.03306717391974267,0.03280965924279756,0.06520703001086947,0.0646992222584273,ns,**,ns,*
SkipRateFirstPass,gpt-5_simple_prompt,Adv,0.1054968897073146,0.1279264916313369,0.0016838430192628,0.0001368316247051,200,0.10769405751585354,0.12912839555029365,0.03525470846852487,0.009462524397731282,0.03779585779901837,0.03597418603250942,0.0745317891322938,0.07093953157085212,**,***,*,**
