text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_1_2,37,Adv,128.63505747126436,127.5,217.6580226904376,58,1044
1_1_2,37,Ele,122.95593220338984,118.0,214.62721893491124,59,295
1_1_3,38,Adv,156.07275733774287,164.0,220.2683780630105,59,2419
1_1_3,38,Ele,144.21508620689656,158.0,206.78553770086526,58,2320
1_1_3,39,Adv,165.8541162227603,169.0,223.30154849225755,59,1652
1_1_3,39,Ele,156.25862068965517,170.0,213.47537473233405,58,638
1_1_3,40,Adv,139.03788634097708,152.0,217.2196261682243,59,1003
1_1_3,40,Ele,141.04454022988506,142.5,205.8008385744235,58,696
1_1_4,41,Adv,167.76797194623026,176.0,222.86568322981367,59,1711
1_1_4,41,Ele,156.41570881226053,168.0,208.4655319148936,58,1566
1_1_4,42,Adv,156.4632768361582,166.0,211.80879541108987,59,1416
1_1_4,42,Ele,148.6026645768025,160.0,210.4517203107658,58,1276
1_1_4,43,Adv,171.20160570918821,178.0,227.65954922894426,59,1121
1_1_4,43,Ele,157.41379310344828,162.5,210.88315217391303,58,986
1_1_4,44,Adv,146.66636931311328,160.0,218.05437665782495,59,1121
1_1_5,45,Adv,161.50423728813558,172.0,215.03526093088857,59,944
1_1_5,45,Ele,168.81465517241378,175.0,210.56451612903226,58,928
1_1_5,46,Adv,137.23360353721444,149.0,212.34435575826683,59,1357
1_1_5,46,Ele,151.4264367816092,155.0,206.81475667189952,58,870
1_1_5,47,Adv,126.95593220338984,147.0,200.81501340482575,59,590
1_1_5,48,Adv,147.66818774445892,158.0,221.2138671875,59,1534
1_1_5,48,Ele,141.15217391304347,153.0,201.60278372591006,58,1334
1_1_6,49,Adv,160.32758620689654,171.0,213.95929203539822,58,1508
1_1_6,50,Adv,153.95977011494253,163.0,210.10980392156864,58,1044
1_1_6,51,Adv,160.23275862068965,163.0,209.8250235183443,58,1392
1_1_6,51,Ele,166.59126466753585,177.0,214.74873949579833,59,1534
1_1_6,52,Adv,150.09368900455434,159.5,216.4108818011257,58,3074
1_1_6,52,Ele,147.60651379195747,157.0,218.46925725528774,59,3009
1_1_7,53,Adv,160.66313559322035,168.0,206.62942779291552,59,472
1_1_7,53,Ele,164.7456896551724,177.0,204.93833780160858,58,464
1_1_7,54,Adv,142.17209908735333,153.0,213.3972602739726,59,767
1_1_7,55,Adv,148.17055084745763,164.0,225.6016129032258,59,944
1_1_7,55,Ele,135.33297413793105,144.0,210.01505016722408,58,928
1_1_7,56,Adv,156.29131355932202,166.0,217.93057607090103,59,944
1_1_7,56,Ele,160.01436781609195,170.5,209.60476787954832,58,1044
1_1_7,57,Adv,160.58813559322033,166.5,217.55912743972445,59,1180
1_1_7,57,Ele,155.025,167.5,214.3373063170441,58,1160
1_1_7,58,Adv,146.72490221642764,160.0,219.80078125,59,1534
1_1_7,58,Ele,125.32758620689656,137.5,202.38515081206498,58,1392
1_1_7,59,Adv,182.71504237288136,184.5,226.95131578947368,59,944
1_1_7,60,Adv,136.1793041926851,152.0,214.4058988764045,59,1121
1_2_1,61,Adv,173.0876934414149,177.0,223.2699619771863,59,1357
1_2_1,61,Ele,172.84407796101948,176.0,217.72804532577905,58,1334
1_2_1,62,Adv,170.37578692493946,177.0,223.52350698856418,59,2065
1_2_1,62,Ele,164.02998500749626,167.0,216.64950495049504,58,1334
1_2_1,63,Adv,165.61705508474577,169.0,225.76534296028882,59,1888
1_2_1,63,Ele,156.3421052631579,167.0,215.36125,58,1102
1_2_1,64,Adv,144.64957627118645,156.0,217.851308232291,59,2360
1_2_1,64,Ele,146.11231527093597,157.0,208.58509142053447,58,2030
1_2_2,65,Adv,174.1864406779661,183.0,226.05922165820644,59,767
1_2_2,65,Ele,150.43965517241378,164.5,200.58620689655172,58,580
1_2_2,66,Adv,154.6929212362911,162.0,220.3934659090909,59,1003
1_2_2,66,Ele,148.45320197044336,156.0,205.7064846416382,58,812
1_2_2,67,Adv,146.16222760290557,158.0,217.92418772563178,59,826
1_2_2,67,Ele,152.03571428571428,164.5,206.44314381270902,58,812
1_2_2,68,Adv,160.31016949152541,166.5,223.95343330702445,59,1770
1_2_2,68,Ele,157.84273772204807,162.0,219.87700145560407,58,1914
1_2_2,69,Adv,168.79661016949152,176.0,219.11991199119913,59,1180
1_2_2,69,Ele,157.68740629685158,162.0,215.74871794871794,58,1334
1_2_2,70,Adv,155.59431383269546,162.0,217.2381679389313,59,1829
1_2_2,70,Ele,159.79633620689654,169.5,217.59501100513572,58,1856
1_2_3,71,Adv,165.61877394636016,178.0,215.59351620947632,58,1566
1_2_3,72,Adv,160.38729246487867,170.0,218.59573542210617,58,3132
1_2_3,72,Ele,171.50885978428352,178.0,228.67847971237802,59,2596
1_2_3,73,Adv,158.47749042145594,165.0,213.20940721649484,58,2088
1_2_3,73,Ele,156.93357764544206,164.0,224.49934469200525,59,2183
1_2_3,74,Adv,107.94663382594418,94.0,199.21060606060607,58,1218
1_2_4,75,Adv,162.6868743047831,168.0,209.83572453371593,58,1798
1_2_4,75,Ele,169.36511299435028,173.0,219.21480804387568,59,1416
1_2_4,76,Adv,148.60714285714286,162.0,213.00794351279788,58,1624
1_2_4,76,Ele,149.23547215496367,154.0,221.70593525179856,59,1652
1_2_4,77,Adv,141.58706896551723,153.0,209.22420382165606,58,1160
1_2_4,77,Ele,131.43879472693033,155.0,214.75076923076924,59,531
1_2_4,78,Adv,140.3081896551724,148.5,200.9351851851852,58,464
1_2_4,78,Ele,138.2391713747646,147.0,217.81899109792286,59,531
1_2_4,79,Adv,145.66206896551725,159.0,217.7422680412371,58,580
1_2_4,79,Ele,122.16666666666667,143.5,207.91826923076923,59,354
1_2_4,80,Adv,136.08128078817734,137.0,195.91843971631207,58,406
1_2_4,80,Ele,129.75423728813558,145.0,211.67281105990784,59,354
1_2_4,81,Adv,131.06631299734747,141.0,205.88333333333333,58,2262
1_2_4,81,Ele,115.2542372881356,119.5,201.64744645799013,59,1062
1_2_5,82,Adv,172.33333333333334,171.0,209.93698949824972,58,1044
1_2_5,82,Ele,160.2975517890772,170.0,206.59708737864077,59,1062
