text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
2_7_2,Adv,175.47490662931838,165.0,254.95489231812786,56,8568
2_7_2,Ele,153.50725467735776,151.0,230.8558713752512,54,5238
2_7_3,Adv,167.03837342497135,159.0,241.56460519050248,54,5238
2_7_3,Ele,176.46968984962405,168.0,243.53274967574578,56,4256
2_7_4,Adv,146.5329386763813,143.0,232.72878495660558,54,6588
2_7_4,Ele,159.7865566037736,157.0,237.0047476261869,56,5936
2_7_5,Adv,182.40039424860854,169.0,251.4419757033248,56,8624
2_7_5,Ele,157.31962114786543,155.0,230.02873088052914,54,7074
2_7_6,Adv,146.9052802802803,142.0,231.89156626506025,54,7992
2_7_6,Ele,162.1336405529954,157.0,239.34013605442178,56,5208
2_8_1,Adv,185.34511784511784,168.5,257.38164815897136,54,4752
2_8_1,Ele,198.3793103448276,177.0,261.92520325203253,56,4872
2_8_2,Adv,162.90277777777777,154.0,244.70575539568344,54,6264
2_8_2,Ele,169.72937041564794,159.0,246.7145713016437,56,6544
2_8_3,Adv,179.37902661064425,164.0,252.80360226992352,56,5712
2_8_3,Ele,160.6175925925926,152.0,243.29172510518933,54,5400
2_8_4,Adv,197.54017857142858,178.0,256.6442,56,6496
2_8_4,Ele,180.2089620484682,169.0,248.26267716535432,54,4374
2_8_5,Adv,180.3904109589041,163.0,252.43130990415335,54,7884
2_8_5,Ele,198.03823953823954,177.0,258.0314923619271,56,5544
2_8_6,Adv,168.18041237113403,158.0,246.0008377548171,54,5238
2_8_6,Ele,179.3313775510204,166.0,245.96885934219733,56,3920
2_9_1,Adv,218.8861386138614,188.0,283.36461432822153,56,5656
2_9_1,Ele,184.4198717948718,172.0,249.44653179190752,54,5616
2_9_2,Adv,205.97930194805195,178.0,276.43409586056646,56,4928
2_9_2,Ele,176.81037037037038,168.0,244.0633946830266,54,4050
2_9_3,Adv,188.62869897959183,171.0,270.06008035062086,56,7840
2_9_3,Ele,160.8125,156.0,237.97707509881423,54,5616
2_9_4,Adv,170.95833333333334,157.0,256.53126142595977,54,8208
2_9_4,Ele,177.71968438538207,165.0,252.6760480220429,56,7224
2_9_5,Adv,213.4299040511727,186.0,274.05509924709105,56,7504
2_9_5,Ele,170.8418079096045,163.5,242.77520071364853,54,6372
2_9_6,Adv,182.9197037037037,163.0,263.7137975224263,54,6750
2_9_6,Ele,189.01200738916256,179.0,248.54696356275304,56,3248
3_10_1,Adv,178.73444302176696,163.0,256.60220588235296,55,3905
3_10_1,Ele,184.59994582881907,168.0,261.9304381245196,52,3692
3_10_2,Adv,174.83141025641027,164.0,251.0619822031298,52,4680
3_10_2,Ele,166.63590909090908,162.0,237.8968202465931,55,4400
3_10_3,Adv,182.12173076923077,169.0,248.56509186351707,52,5200
3_10_3,Ele,166.4031042128603,160.0,237.2677837496048,55,4510
3_10_4,Adv,186.6466704936854,172.0,261.050582095544,52,6968
3_10_4,Ele,166.607697412077,158.0,243.24530129819803,55,7535
3_10_5,Adv,159.82308612440193,153.0,240.0504850880345,55,8360
3_10_5,Ele,171.63117106773822,162.0,251.7209008629762,52,6968
3_10_6,Adv,157.95465240641713,155.0,235.5464114832536,55,4675
3_10_6,Ele,156.66552197802199,155.0,236.3782383419689,52,4368
3_1_1,Adv,189.08834355828222,169.0,264.41693963500234,55,8965
3_1_1,Ele,190.81444509688785,170.0,269.22700911350455,52,6812
3_1_2,Adv,206.7168484848485,182.0,272.1694861155442,55,4125
3_1_2,Ele,210.89440559440558,184.0,272.5521915951197,52,2860
3_1_3,Adv,195.48088818398097,172.0,265.9704359085024,52,6305
3_1_3,Ele,166.27474747474747,161.0,240.55260791366908,55,6435
3_1_4,Adv,200.32182883341824,178.0,269.4752441322597,52,7852
3_1_4,Ele,184.11660405709992,171.0,248.89213893967093,55,6655
3_1_5,Adv,200.86655405405406,176.5,274.23611850274966,52,7696
3_1_5,Ele,182.32543153049482,167.0,253.5864276568502,55,4345
3_2_1,Adv,192.44469696969696,171.0,265.99685863874345,55,6600
3_2_1,Ele,192.1086456278764,168.0,265.5131758291686,52,6084
3_2_2,Adv,227.12445054945056,192.0,291.2057062345896,52,3640
3_2_2,Ele,194.91322314049586,178.0,257.37904692615496,55,3630
3_2_3,Adv,200.97627606038822,180.0,268.8057692307692,52,5564
3_2_3,Ele,186.9194055944056,173.0,250.21741165457524,55,5720
