text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_1_2,34,Ele,268.3142857142857,200.0,380.28071379547015,59,2065
1_1_2,35,Adv,232.8557336621455,175.0,346.50642201834864,58,811
1_1_2,35,Ele,234.8553672316384,187.0,326.29042386185245,59,885
1_1_2,36,Adv,188.28600405679512,155.5,300.40453074433657,58,986
1_1_2,36,Ele,177.33095450490634,157.0,294.93768545994067,59,1121
1_1_2,37,Adv,244.0727969348659,150.0,412.98541329011346,58,1044
1_1_2,37,Ele,171.16949152542372,138.0,298.7869822485207,59,295
1_1_3,38,Adv,310.10157545605307,208.0,438.1751611013474,59,2412
1_1_3,38,Ele,268.91328731665226,186.0,385.73081683168317,58,2318
1_1_3,39,Adv,314.0284848484848,232.0,422.97714285714284,59,1650
1_1_3,39,Ele,290.69701726844585,226.0,397.3690987124464,58,637
1_1_3,40,Adv,196.03290129611167,169.0,306.2632398753894,59,1003
1_1_3,40,Ele,195.625,161.5,285.44025157232704,58,696
1_1_4,41,Adv,338.9795321637427,230.5,450.3923853923854,59,1710
1_1_4,41,Ele,306.550159744409,218.0,408.6465076660988,58,1565
1_1_4,42,Adv,322.2772277227723,216.5,436.4942528735632,59,1414
1_1_4,42,Ele,266.5882352941176,195.0,377.6666666666667,58,1275
1_1_4,43,Adv,359.20322291853176,252.0,478.22407628128724,59,1117
1_1_4,43,Ele,342.3452138492872,230.5,459.2663934426229,58,982
1_1_4,44,Adv,249.54285714285714,181.0,371.1660026560425,59,1120
1_1_5,45,Adv,282.97139830508473,208.5,376.7630465444288,59,944
1_1_5,45,Ele,297.4854054054054,221.0,371.3549257759784,58,925
1_1_5,46,Adv,229.07743362831857,172.0,354.5993150684931,59,1356
1_1_5,46,Ele,245.52934407364788,197.0,335.4795597484277,58,869
1_1_5,47,Adv,187.45762711864407,159.5,296.514745308311,59,590
1_1_5,48,Adv,254.97390737116766,183.0,382.08699902248287,59,1533
1_1_5,48,Ele,260.3596096096096,186.5,372.1019313304721,58,1332
1_1_6,49,Adv,331.3353373413494,223.0,443.2609472743521,58,1497
1_1_6,50,Adv,326.3502879078695,228.0,445.68414154652686,58,1042
1_1_6,51,Adv,325.0756484149856,227.5,426.067044381492,58,1388
1_1_6,51,Ele,303.5081645983018,222.0,391.46672283066556,59,1531
1_1_6,52,Adv,268.09336369551073,197.0,386.547373358349,58,3074
1_1_6,52,Ele,251.9883604921849,187.0,373.081733136386,59,3007
1_1_7,53,Adv,314.114406779661,218.0,403.98365122615803,59,472
1_1_7,53,Ele,296.1163793103448,219.0,368.3592493297587,58,464
1_1_7,54,Adv,239.54889178617992,179.0,359.5577299412916,59,767
1_1_7,55,Adv,250.6175847457627,184.0,381.5854838709677,59,944
1_1_7,55,Ele,212.20150862068965,158.0,329.3026755852843,58,928
1_1_7,56,Adv,286.1324152542373,216.0,398.97932053175776,59,944
1_1_7,56,Ele,292.3397312859885,209.0,383.16729559748427,58,1042
1_1_7,57,Adv,292.81849024597113,230.0,396.81954022988504,59,1179
1_1_7,57,Ele,267.26229508196724,209.0,369.6384248210024,58,1159
1_1_7,58,Adv,251.8859191655802,181.5,377.3369140625,59,1534
1_1_7,58,Ele,187.72341954022988,157.0,303.14501160092806,58,1392
1_1_7,59,Adv,399.72139830508473,276.0,496.49605263157895,59,944
1_1_7,60,Adv,211.92767857142857,167.5,333.8382559774965,59,1120
1_2_1,61,Adv,322.2514749262537,229.0,415.76879162702187,59,1356
1_2_1,61,Ele,289.7753568745304,227.0,365.2376893939394,58,1331
1_2_1,62,Adv,323.58837772397095,240.0,424.52986022871664,59,2065
1_2_1,62,Ele,300.7588279489106,221.0,397.5273088381331,58,1331
1_2_1,63,Adv,279.7389920424403,214.0,381.5542691751085,59,1885
1_2_1,63,Ele,277.0884229717411,200.0,382.3471698113208,58,1097
1_2_1,64,Adv,223.40440864773208,183.0,336.5332056194125,59,2359
1_2_1,64,Ele,239.8915722030557,188.0,342.533427163969,58,2029
1_2_2,65,Adv,351.23298429319374,250.5,456.36394557823127,59,764
1_2_2,65,Ele,284.66321243523316,204.0,379.7695852534562,58,579
1_2_2,66,Adv,319.99498997995994,210.0,456.87410586552215,59,998
1_2_2,66,Ele,271.07644882860666,198.0,375.8,58,811
1_2_2,67,Adv,232.47578692493946,200.0,346.615523465704,59,826
1_2_2,67,Ele,234.36206896551724,189.5,318.2307692307692,58,812
1_2_2,68,Adv,273.67572156196945,200.0,382.5830696202532,59,1767
1_2_2,68,Ele,280.30857740585776,209.0,390.634110787172,58,1912
1_2_2,69,Adv,317.0381355932203,233.5,411.55665566556655,59,1180
1_2_2,69,Ele,253.8208395802099,203.0,347.2789743589744,58,1334
1_2_2,70,Adv,255.14168490153173,197.0,356.3017570664629,59,1828
1_2_2,70,Ele,292.767115902965,211.0,398.7393538913363,58,1855
1_2_3,71,Adv,315.4741214057508,227.0,410.74625623960065,58,1565
1_2_3,72,Adv,305.0895426926767,218.0,416.05538595726125,58,3127
1_2_3,72,Ele,321.6885372443072,237.0,429.1941297631308,59,2591
1_2_3,73,Adv,319.4956730769231,220.0,430.40867875647666,58,2080
1_2_3,73,Ele,252.97341888175984,196.0,361.9593442622951,59,2182
1_2_3,74,Adv,158.42857142857142,113.5,292.3727272727273,58,1218
1_2_4,75,Adv,334.76004464285717,241.5,432.1974063400576,58,1792
1_2_4,75,Ele,382.11872791519437,264.0,494.6916742909424,59,1415
1_2_4,76,Adv,261.4306839186691,199.0,374.8250883392226,58,1623
1_2_4,76,Ele,246.4924288310115,182.0,366.2997299729973,59,1651
1_2_4,77,Adv,226.39741379310345,181.5,334.54904458598725,58,1160
1_2_4,77,Ele,179.5894538606403,162.0,293.4215384615385,59,531
1_2_4,78,Adv,252.72413793103448,193.5,361.9259259259259,58,464
1_2_4,78,Ele,223.7683615819209,175.0,352.58456973293767,59,531
1_2_4,79,Adv,247.01379310344828,182.5,369.2474226804124,58,580
1_2_4,79,Ele,166.92655367231637,157.5,284.09615384615387,59,354
1_2_4,80,Adv,206.77586206896552,176.5,297.6985815602837,58,406
1_2_4,80,Ele,189.5,157.0,309.13824884792626,59,354
1_2_4,81,Adv,207.33908045977012,163.0,325.6951388888889,58,2262
1_2_4,81,Ele,173.21186440677965,134.0,303.0494233937397,59,1062
1_2_5,82,Adv,375.90664100096245,263.0,458.4119718309859,58,1039
1_2_5,82,Ele,313.49623352165725,226.0,404.04490291262135,59,1062
1_2_5,83,Adv,336.94540727902944,232.0,440.85600907029476,58,1154
1_2_5,83,Ele,332.0751818916734,232.0,447.9574700109051,59,1237
1_2_5,84,Adv,257.74082073434124,193.0,367.9362795477903,58,1389
1_2_5,84,Ele,224.88214285714287,173.0,338.9878869448183,59,1120
1_2_5,85,Adv,227.3574879227053,181.0,332.0977822580645,58,1449
1_2_5,85,Ele,189.60271186440679,166.0,299.1058823529412,59,1475
1_2_5,86,Adv,211.66871921182266,174.0,316.23735050597975,58,1624
1_2_6,87,Adv,357.62046204620464,243.0,466.77723076923075,59,2121
1_2_6,87,Ele,320.43793103448274,236.5,406.6827133479212,58,1160
1_2_6,88,Adv,305.5026315789474,208.0,443.94263862332696,59,760
1_2_6,88,Ele,271.0572569906791,210.0,373.5119266055046,58,751
1_2_6,89,Adv,322.0340264650284,215.0,463.55374149659866,59,1058
1_2_6,89,Ele,189.1808143547274,153.0,316.9052023121387,58,1449
1_3_1,90,Adv,286.5328227571116,200.0,400.13903743315507,59,1828
1_3_1,90,Ele,224.0975029726516,180.0,322.7157534246575,58,1682
1_3_1,91,Adv,384.2637711864407,282.5,497.5925925925926,59,944
1_3_1,91,Ele,329.9027093596059,259.0,423.8623417721519,58,812
1_3_1,92,Adv,294.7967967967968,224.0,403.9807956104252,59,999
1_3_1,92,Ele,211.03450564034506,165.0,331.97181628392485,58,1507
1_3_1,93,Adv,196.2382851445663,145.0,337.6106346483705,59,1003
1_3_1,93,Ele,171.26774847870183,140.5,291.1551724137931,58,986
1_3_2,94,Adv,330.30933062880325,242.5,427.40813648293965,58,986
1_3_2,94,Ele,310.73123486682806,215.0,412.64308681672026,59,826
