text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_8_2,Ele,198.46637168141592,0.0,473.4700914848698,58,3390
1_8_3,Adv,141.45899822695034,0.0,408.6190781049936,59,4512
1_8_3,Ele,121.39477381286878,0.0,371.4909716251075,58,3559
1_8_4,Adv,165.113620807666,0.0,409.0972300734878,59,4383
1_8_4,Ele,132.87389380530973,0.0,386.64592274678114,58,4068
1_8_5,Adv,240.3827242524917,0.0,532.8070692194403,58,3010
1_8_5,Ele,193.82643631980716,0.0,464.32531280076995,59,2489
1_9_1,Adv,114.00853115727003,0.0,384.20875,58,2696
1_9_1,Ele,79.13462384513858,0.0,354.77909270216963,59,2273
1_9_2,Adv,172.7365181711606,0.0,407.0283149171271,59,3412
1_9_2,Ele,166.638511095204,0.0,381.94257588187037,58,2794
1_9_3,Adv,180.21856692203696,0.0,503.6586901763224,59,2219
1_9_3,Ele,140.42795566502463,0.0,395.2426343154246,58,1624
1_9_4,Adv,205.32174931667316,0.0,425.4279935275081,58,2561
1_9_4,Ele,155.80859080633007,0.0,392.70275403608736,59,2654
1_9_5,Adv,131.33053545586108,0.0,373.7619439868204,58,3455
1_9_5,Ele,154.94397993311037,0.0,427.97459584295615,59,2392
1_9_6,Adv,107.66752283105023,0.0,334.45656028368796,58,3504
1_9_6,Ele,99.96210301574592,0.0,343.31622364802934,59,3747
2_10_1,Adv,129.42898383371823,0.0,386.83520276100086,54,3464
2_10_1,Ele,124.07161290322581,0.0,365.9581351094196,56,3100
2_10_2,Adv,127.44997266265719,0.0,372.07661612130886,54,3658
2_10_2,Ele,168.52761627906978,0.0,403.71518105849583,56,3440
2_10_3,Adv,164.94969879518072,0.0,409.90494011976045,56,3320
2_10_3,Ele,133.3570159857904,0.0,367.31898238747556,54,2815
2_10_4,Adv,184.1970129584889,0.0,451.1291016675632,56,4553
2_10_4,Ele,140.8901098901099,0.0,393.8191126279863,53,2457
2_1_1,Adv,153.62245728234336,0.0,412.832361516035,56,3687
2_1_1,Ele,157.23320702721324,0.0,414.1996370235935,54,2903
2_1_2,Adv,129.88118811881188,0.0,393.96590909090907,56,3737
2_1_2,Ele,135.82130451563103,0.0,377.18435155412647,54,2591
2_1_3,Adv,128.6295364714337,0.0,392.0876232201533,54,2783
2_1_3,Ele,110.48646080760095,0.0,323.9192200557103,56,2105
2_1_4,Adv,95.08021787571181,0.0,341.6628113879004,54,4039
2_1_4,Ele,100.39442658092176,0.0,341.0242718446602,56,2799
2_1_5,Adv,174.88496732026144,0.0,404.4347037484885,54,3825
2_1_5,Ele,172.27968409586057,0.0,411.58815875081325,56,3672
2_1_6,Adv,141.90279720279722,0.0,400.50197368421055,56,4290
2_1_6,Ele,130.9844522968198,0.0,379.02453987730064,54,2830
2_2_1,Adv,161.22611256544502,0.0,392.90829346092505,54,3056
2_2_1,Ele,205.67244640605296,0.0,457.4985974754558,56,3172
2_2_2,Adv,160.204076497232,0.0,386.7867557715674,54,3974
2_2_2,Ele,179.15139540627317,0.0,411.6821793416572,56,4049
