text_id,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
2_9_1,Ele,0.46242877492877493,0.2606837606837607,54,5616
2_9_2,Adv,0.44500811688311687,0.25487012987012986,56,4928
2_9_2,Ele,0.49333333333333335,0.27555555555555555,54,4050
2_9_3,Adv,0.5057397959183674,0.30153061224489797,56,7840
2_9_3,Ele,0.5062321937321937,0.32425213675213677,54,5616
2_9_4,Adv,0.5192495126705653,0.33357699805068225,54,8208
2_9_4,Ele,0.48726467331118495,0.2966500553709856,56,7224
2_9_5,Adv,0.4525586353944563,0.22121535181236673,56,7504
2_9_5,Ele,0.5059635907093534,0.2962962962962963,54,6372
2_9_6,Adv,0.526962962962963,0.30637037037037035,54,6750
2_9_6,Ele,0.45289408866995073,0.2395320197044335,56,3248
3_10_1,Adv,0.5152368758002561,0.3034571062740077,55,3905
3_10_1,Ele,0.5010834236186349,0.2952329360780065,52,3692
3_10_2,Adv,0.5002136752136752,0.3036324786324786,52,4680
3_10_2,Ele,0.5061363636363636,0.29954545454545456,55,4400
3_10_3,Adv,0.5211538461538462,0.2673076923076923,52,5200
3_10_3,Ele,0.5536585365853659,0.29866962305986694,55,4510
3_10_4,Adv,0.5173650975889782,0.28501722158438575,52,6968
3_10_4,Ele,0.579163901791639,0.3150630391506304,55,7535
3_10_5,Adv,0.5509569377990431,0.33421052631578946,55,8360
3_10_5,Ele,0.5314293915040184,0.3181687715269805,52,6968
3_10_6,Adv,0.548235294117647,0.32941176470588235,55,4675
3_10_6,Ele,0.5425824175824175,0.33722527472527475,52,4368
3_1_1,Adv,0.5769102063580591,0.2848856664807585,55,8965
3_1_1,Ele,0.4963300058719906,0.2912507339988256,52,6812
3_1_2,Adv,0.4894545454545455,0.2404848484848485,55,4125
3_1_2,Ele,0.4486013986013986,0.22622377622377624,52,2860
3_1_3,Adv,0.49754163362410786,0.26502775574940524,52,6305
3_1_3,Ele,0.5599067599067599,0.30878010878010875,55,6435
3_1_4,Adv,0.5315843097300051,0.25662251655629137,52,7852
3_1_4,Ele,0.5337340345604809,0.2602554470323065,55,6655
3_1_5,Adv,0.5324844074844075,0.26754158004158,52,7696
3_1_5,Ele,0.4773302646720368,0.2810126582278481,55,4345
3_2_1,Adv,0.5071212121212121,0.2765151515151515,55,6600
3_2_1,Ele,0.5277777777777778,0.2764628533859303,52,6084
3_2_2,Adv,0.41126373626373625,0.22005494505494505,52,3640
3_2_2,Ele,0.4369146005509642,0.24269972451790633,55,3630
3_2_3,Adv,0.5021567217828901,0.2523364485981308,52,5564
3_2_3,Ele,0.4993006993006993,0.25297202797202795,55,5720
3_2_4,Adv,0.4918842625264644,0.23747353563867327,52,5668
3_2_4,Ele,0.512621359223301,0.24907325684024714,55,5665
3_2_5,Adv,0.5421383647798742,0.2650657518582047,55,8745
