text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_1_7,60,Adv,1.142300194931774,1.0,1.6187845303867403,54,1026
1_2_1,61,Adv,1.855877616747182,1.0,2.193149381541389,54,1242
1_2_1,61,Ele,1.605475040257649,1.0,1.9359223300970874,54,1242
1_2_1,62,Adv,1.8365079365079364,1.0,2.268627450980392,54,1890
1_2_1,62,Ele,1.8808373590982286,1.0,2.2079395085066165,54,1242
1_2_1,63,Adv,1.5075231481481481,1.0,1.897305171158048,54,1728
1_2_1,63,Ele,1.6442495126705654,1.0,2.087871287128713,54,1026
1_2_1,64,Adv,1.1953703703703704,1.0,1.7031662269129288,54,2160
1_2_1,64,Ele,1.3587301587301588,1.0,1.8008415147265078,54,1890
1_2_2,65,Adv,1.876068376068376,1.0,2.360215053763441,54,702
1_2_2,65,Ele,1.7314814814814814,1.0,2.210401891252955,54,540
1_2_2,66,Adv,1.869281045751634,1.0,2.527245949926362,54,918
1_2_2,66,Ele,1.7142857142857142,1.0,2.261780104712042,54,756
1_2_2,67,Adv,1.3280423280423281,1.0,1.8254545454545454,54,756
1_2_2,67,Ele,1.4854497354497354,1.0,1.9066213921901527,54,756
1_2_2,68,Adv,1.487037037037037,1.0,1.9380530973451326,54,1620
1_2_2,68,Ele,1.5482603815937148,1.0,2.021245421245421,54,1782
1_2_2,69,Adv,1.8009259259259258,1.0,2.1444321940463067,54,1080
1_2_2,69,Ele,1.4436392914653784,1.0,1.8277268093781855,54,1242
1_2_2,70,Adv,1.5603345280764636,1.0,1.9743008314436885,54,1674
1_2_2,70,Ele,1.5862268518518519,1.0,2.000729927007299,54,1728
1_2_3,71,Adv,1.5795610425240054,1.0,2.002608695652174,54,1458
1_2_3,72,Adv,1.6762688614540466,1.0,2.1363636363636362,54,2916
1_2_3,72,Ele,1.8152356902356903,1.0,2.249869587897757,54,2376
1_2_3,73,Adv,1.9542181069958848,1.0,2.454134366925065,54,1944
1_2_3,73,Ele,1.5855855855855856,1.0,2.0114285714285716,54,1998
1_2_3,74,Adv,0.9144620811287478,1.0,1.5547226386806596,54,1134
1_2_4,75,Adv,1.9241338112305855,1.0,2.3528122717311906,54,1674
1_2_4,75,Ele,2.131172839506173,2.0,2.5574074074074074,54,1296
