pred_col,text_col,level_type
mean_nonzero_TF,PLL_roberta-base,Ele
mean_nonzero_TF,PLL_roberta-base,diff
mean_nonzero_TF,PLL_roberta-large,Adv
mean_nonzero_TF,PLL_roberta-large,Ele
mean_nonzero_TF,PLL_roberta-large,diff
mean_nonzero_TF,llama-3.3-70b-versatile_simple_prompt,Adv
mean_nonzero_TF,llama-3.3-70b-versatile_simple_prompt,Ele
mean_nonzero_TF,llama-3.3-70b-versatile_simple_prompt,diff
mean_nonzero_TF,gpt-4o_simple_prompt,Adv
mean_nonzero_TF,gpt-4o_simple_prompt,Ele
mean_nonzero_TF,gpt-4o_simple_prompt,diff
mean_nonzero_TF,gpt-5_simple_prompt,Adv
mean_nonzero_TF,gpt-5_simple_prompt,Ele
mean_nonzero_TF,gpt-5_simple_prompt,diff
mean_nonzero_TF,gemini-2.0-flash_simple_prompt,Adv
mean_nonzero_TF,gemini-2.0-flash_simple_prompt,Ele
mean_nonzero_TF,gemini-2.0-flash_simple_prompt,diff
mean_nonzero_TF,gemini-2.5-pro_simple_prompt,Adv
mean_nonzero_TF,gemini-2.5-pro_simple_prompt,Ele
mean_nonzero_TF,gemini-2.5-pro_simple_prompt,diff
mean_nonzero_TF,claude-sonnet-4-0_simple_prompt,Adv
mean_nonzero_TF,claude-sonnet-4-0_simple_prompt,Ele
mean_nonzero_TF,claude-sonnet-4-0_simple_prompt,diff
mean_nonzero_TF,llama-3.3-70b-versatile_clear_specific_prompt,Adv
mean_nonzero_TF,llama-3.3-70b-versatile_clear_specific_prompt,Ele
mean_nonzero_TF,llama-3.3-70b-versatile_clear_specific_prompt,diff
mean_nonzero_TF,gpt-4o_clear_specific_prompt,Adv
mean_nonzero_TF,gpt-4o_clear_specific_prompt,Ele
mean_nonzero_TF,gpt-4o_clear_specific_prompt,diff
mean_nonzero_TF,gpt-5_clear_specific_prompt,Adv
mean_nonzero_TF,gpt-5_clear_specific_prompt,Ele
mean_nonzero_TF,gpt-5_clear_specific_prompt,diff
mean_nonzero_TF,gemini-2.0-flash_clear_specific_prompt,Adv
mean_nonzero_TF,gemini-2.0-flash_clear_specific_prompt,Ele
mean_nonzero_TF,gemini-2.0-flash_clear_specific_prompt,diff
mean_nonzero_TF,gemini-2.5-pro_clear_specific_prompt,Adv
mean_nonzero_TF,gemini-2.5-pro_clear_specific_prompt,Ele
mean_nonzero_TF,gemini-2.5-pro_clear_specific_prompt,diff
mean_nonzero_TF,claude-sonnet-4-0_clear_specific_prompt,Adv
mean_nonzero_TF,claude-sonnet-4-0_clear_specific_prompt,Ele
mean_nonzero_TF,claude-sonnet-4-0_clear_specific_prompt,diff
mean_nonzero_TF,Pythia 70M Mean,Adv
mean_nonzero_TF,Pythia 70M Mean,Ele
mean_nonzero_TF,Pythia 70M Mean,diff
mean_nonzero_TF,Pythia 160M Mean,Adv
mean_nonzero_TF,Pythia 160M Mean,Ele
mean_nonzero_TF,Pythia 160M Mean,diff
mean_nonzero_TF,Pythia 410M Mean,Adv
mean_nonzero_TF,Pythia 410M Mean,Ele
mean_nonzero_TF,Pythia 410M Mean,diff
mean_nonzero_TF,Pythia 1B Mean,Adv
mean_nonzero_TF,Pythia 1B Mean,Ele
mean_nonzero_TF,Pythia 1B Mean,diff
mean_nonzero_TF,Pythia 1.4B Mean,Adv
mean_nonzero_TF,Pythia 1.4B Mean,Ele
mean_nonzero_TF,Pythia 1.4B Mean,diff
mean_nonzero_TF,Pythia 2.8B Mean,Adv
