text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
2_2_1,Ele,214.06217070600633,197.0,214.06217070600633,49,5694
2_2_2,Adv,204.98105914186317,187.0,204.98105914186317,50,7761
2_2_2,Ele,212.42608320138189,195.0,212.42608320138189,49,6947
2_2_3,Adv,209.99792498004788,190.0,209.99792498004788,50,6265
2_2_3,Ele,210.05844504021448,193.0,210.05844504021448,49,5595
2_2_4,Adv,216.99881235154393,199.0,216.99881235154393,49,4210
2_2_4,Ele,208.45433639947439,190.0,208.45433639947439,50,3044
2_2_5,Adv,212.64773640503617,196.0,212.64773640503617,49,7466
2_2_5,Ele,199.6236842105263,183.0,199.6236842105263,50,5320
2_2_6,Adv,211.0158424320274,195.0,211.0158424320274,49,4671
2_2_6,Ele,199.34563481134674,183.0,199.34563481134674,50,3631
2_3_1,Adv,207.57811840810012,189.0,207.57811840810012,50,7111
2_3_1,Ele,207.5451793552293,192.0,207.5451793552293,49,6607
2_3_2,Adv,202.19108030342662,186.0,202.19108030342662,50,7646
2_3_2,Ele,208.10357687743686,192.0,208.10357687743686,49,5899
2_3_3,Adv,209.7581677332435,193.0,209.7581677332435,49,8907
2_3_3,Ele,201.06501300260052,185.0,201.06501300260052,50,4999
2_3_4,Adv,208.6272833268558,190.0,208.6272833268558,50,7719
2_3_4,Ele,210.56987814166033,196.0,210.56987814166033,49,5252
2_4_1,Adv,211.0594470046083,196.0,211.0594470046083,49,4340
2_4_1,Ele,196.08569628229364,184.0,196.08569628229364,50,3174
2_4_2,Adv,218.3757108042242,198.0,218.3757108042242,49,4924
2_4_2,Ele,200.30748446365848,183.0,200.30748446365848,50,3701
2_4_3,Adv,205.96536279486415,192.0,205.96536279486415,49,6698
2_4_3,Ele,196.3177762525738,184.0,196.3177762525738,50,4371
2_4_4,Adv,212.16711931921057,195.0,212.16711931921057,49,5523
2_4_4,Ele,203.1579265832997,186.0,203.1579265832997,50,4958
2_4_5,Adv,207.40393570677483,186.0,207.40393570677483,50,6657
2_4_5,Ele,207.38551315301964,190.0,207.38551315301964,49,5398
2_4_6,Adv,201.0083829096809,183.0,201.0083829096809,50,3698
2_4_6,Ele,208.4953071672355,194.0,208.4953071672355,49,4688
2_4_7,Adv,216.03384615384616,198.0,216.03384615384616,49,6500
2_4_7,Ele,202.4761801645734,187.0,202.4761801645734,50,4618
2_5_1,Adv,203.05877034358048,187.0,203.05877034358048,50,6636
2_5_1,Ele,206.63437559946289,190.0,206.63437559946289,49,5213
2_5_2,Adv,210.05942764828063,192.0,210.05942764828063,50,8666
2_5_2,Ele,213.955791012057,196.0,213.955791012057,49,5474
2_5_3,Adv,213.3652411735455,195.0,213.3652411735455,49,4022
2_5_3,Ele,193.21441774491683,180.0,193.21441774491683,50,3787
2_5_4,Adv,200.24952107279694,184.0,200.24952107279694,50,6264
2_5_4,Ele,210.176448386488,194.0,210.176448386488,49,5299
2_5_5,Adv,215.89020874178294,197.0,215.89020874178294,49,8671
2_5_5,Ele,198.62822458270105,183.0,198.62822458270105,50,3954
2_6_1,Adv,199.95581737849778,184.0,199.95581737849778,50,6111
2_6_1,Ele,210.37435897435898,194.0,210.37435897435898,49,6435
2_6_2,Adv,212.71696710648578,192.0,212.71696710648578,49,5381
2_6_2,Ele,195.92801175318314,181.0,195.92801175318314,50,4084
2_6_3,Adv,203.84134717220928,189.0,203.84134717220928,50,4721
2_6_3,Ele,206.99325551232167,192.0,206.99325551232167,49,3855
2_6_4,Adv,211.40043413686735,193.0,211.40043413686735,49,8753
2_6_4,Ele,199.23128559804718,183.0,199.23128559804718,50,4916
2_7_1,Adv,207.8608870967742,194.0,207.8608870967742,49,4960
2_7_1,Ele,204.3248666497333,188.0,204.3248666497333,50,3937
2_7_2,Adv,209.82586993725042,193.0,209.82586993725042,49,7012
2_7_2,Ele,206.66440608302509,188.0,206.66440608302509,50,4866
2_7_3,Adv,203.14409221902017,186.0,203.14409221902017,50,5552
2_7_3,Ele,209.30582629413038,192.0,209.30582629413038,49,4617
2_7_4,Adv,198.71449514385193,184.0,198.71449514385193,50,5457
2_7_4,Ele,208.04168320762207,192.0,208.04168320762207,49,5038
2_7_5,Adv,210.74139159344574,194.0,210.74139159344574,49,8422
2_7_5,Ele,202.17557251908397,186.0,202.17557251908397,50,6943
2_7_6,Adv,201.9464539567209,185.0,201.9464539567209,50,6331
2_7_6,Ele,202.51595495072735,189.0,202.51595495072735,49,4262
2_8_1,Adv,200.88287468728677,185.0,200.88287468728677,50,4397
2_8_1,Ele,210.34819976771198,192.0,210.34819976771198,49,4305
