text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
2_3_2,Adv,140.1057718486251,134.0,233.91295454545454,50,7346
2_3_2,Ele,157.5206043956044,154.0,242.07629674306392,49,5096
2_3_3,Adv,145.75523542750435,144.0,235.9082469775475,49,7497
2_3_3,Ele,135.13553191489362,136.0,222.07587412587412,50,4700
2_3_4,Adv,147.84388489208632,140.0,242.73919206236712,50,6950
2_3_4,Ele,163.137590520079,159.0,250.56218402426694,49,4557
2_4_1,Adv,151.76729716276753,152.0,238.6696673189824,49,4018
2_4_1,Ele,135.0676923076923,139.0,218.28443560417702,50,3250
2_4_2,Adv,168.06554621848738,157.0,262.16966292134833,49,4165
2_4_2,Ele,139.72542857142858,140.0,227.88397017707362,50,3500
2_4_3,Adv,158.8533036977167,157.0,235.0971889952153,49,4949
2_4_3,Ele,138.06759493670887,140.0,223.51106557377048,50,3950
2_4_4,Adv,161.1754233608337,154.0,251.39654588554012,49,4606
2_4_4,Ele,154.82117647058823,150.0,235.08038585209005,50,4250
2_4_5,Adv,163.75407407407408,150.0,246.86543830262423,50,5400
2_4_5,Ele,168.92692560895327,158.0,254.39524124256445,49,4557
2_4_6,Adv,151.76179104477612,147.0,228.7008547008547,50,3350
2_4_6,Ele,159.31811224489795,157.0,238.7335626911315,49,3920
2_4_7,Adv,159.35563442768412,149.0,256.2696917808219,49,5635
2_4_7,Ele,145.11048780487806,144.0,231.22930431403032,50,4100
2_5_1,Adv,143.17503875968993,135.0,235.28127388535032,50,6450
2_5_1,Ele,156.28963100391672,154.0,236.85129646985317,49,4851
2_5_2,Adv,146.45949685534592,139.0,240.81758014477765,50,7950
2_5_2,Ele,145.94318808604524,146.0,237.94514388489208,49,5439
2_5_3,Adv,159.7281746031746,153.5,250.12028406569019,49,3528
2_5_3,Ele,135.61833333333334,138.0,221.51814882032667,50,3600
2_5_4,Adv,157.2580198019802,151.5,234.12529481132074,50,5050
2_5_4,Ele,170.4006968641115,166.0,244.35046395431834,49,4018
2_5_5,Adv,169.88032764126058,162.0,249.97916241062308,49,7203
2_5_5,Ele,147.36666666666667,146.0,233.44029244516653,50,3900
2_6_1,Adv,139.2101612903226,135.0,232.20419693301048,50,6200
2_6_1,Ele,157.9370460048426,155.0,244.82359249329758,49,5782
2_6_2,Adv,170.93863155419703,156.0,257.3458407079646,49,4253
2_6_2,Ele,128.326,127.0,220.07126524390245,50,4500
2_6_3,Adv,154.24911392405065,153.0,232.285169653069,50,3950
2_6_3,Ele,158.19727891156464,158.0,233.93232738911752,49,3234
