text_id,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
2_4_4,Ele,242.27646129541864,201.0,242.27646129541864,50,1899
2_4_5,Adv,262.63330529857024,207.0,262.63330529857024,50,2378
2_4_5,Ele,262.97256226255803,218.0,262.97256226255803,49,2369
2_4_6,Adv,235.88713745271122,197.0,235.88713745271122,50,1586
2_4_6,Ele,245.14184782608694,211.0,245.14184782608694,49,1840
2_4_7,Adv,265.74727052163365,220.0,265.74727052163365,49,2473
2_4_7,Ele,240.85894495412845,204.0,240.85894495412845,50,1744
2_5_1,Adv,243.32488055861816,201.0,243.32488055861816,50,2721
2_5_1,Ele,246.64047317279255,210.0,246.64047317279255,49,2367
2_5_2,Adv,248.09157392686805,208.0,248.09157392686805,50,3145
2_5_2,Ele,243.9263468013468,208.5,243.9263468013468,49,2376
2_5_3,Adv,262.1631032376298,213.0,262.1631032376298,49,1637
2_5_3,Ele,230.19063772048847,196.0,230.19063772048847,50,1474
2_5_4,Adv,238.71000461041956,201.0,238.71000461041956,50,2169
2_5_4,Ele,253.71801181102362,215.5,253.71801181102362,49,2032
2_5_5,Adv,256.7524557956778,218.0,256.7524557956778,49,3563
2_5_5,Ele,235.93380743982493,202.0,235.93380743982493,50,1828
2_6_1,Adv,233.6031807602793,200.0,233.6031807602793,50,2578
2_6_1,Ele,257.45683313975996,218.0,257.45683313975996,49,2583
2_6_2,Adv,267.7434656340755,209.5,267.7434656340755,49,2066
2_6_2,Ele,224.541010320478,197.0,224.541010320478,50,1841
2_6_3,Adv,237.65642775881685,206.0,237.65642775881685,50,1758
2_6_3,Ele,242.7246737103791,210.0,242.7246737103791,49,1609
2_6_4,Adv,253.3152709359606,214.0,253.3152709359606,49,3248
2_6_4,Ele,224.8598979013046,196.0,224.8598979013046,50,1763
2_7_1,Adv,250.97002997002997,217.0,250.97002997002997,49,2002
2_7_1,Ele,240.82538699690403,205.0,240.82538699690403,50,1615
2_7_2,Adv,243.61643008154635,210.0,243.61643008154635,49,3311
2_7_2,Ele,230.1503724394786,195.0,230.1503724394786,50,2148
2_7_3,Adv,230.47637603507061,196.0,230.47637603507061,50,2053
2_7_3,Ele,250.44840072420035,213.0,250.44840072420035,49,1657
2_7_4,Adv,228.6785859406745,201.0,228.6785859406745,50,2461
2_7_4,Ele,245.44982238010658,214.5,245.44982238010658,49,2252
2_7_5,Adv,256.2976618705036,217.0,256.2976618705036,49,3336
2_7_5,Ele,230.58937772493064,198.0,230.58937772493064,50,2523
2_7_6,Adv,228.82583170254404,196.0,228.82583170254404,50,3066
2_7_6,Ele,233.2554347826087,206.0,233.2554347826087,49,2024
2_8_1,Adv,234.20050125313284,199.0,234.20050125313284,50,1995
2_8_1,Ele,251.66191155492155,212.0,251.66191155492155,49,2103
2_8_2,Adv,231.8473469387755,198.5,231.8473469387755,50,2450
2_8_2,Ele,243.02372881355933,210.0,243.02372881355933,49,2655
2_8_3,Adv,249.5096153846154,211.0,249.5096153846154,49,2288
2_8_3,Ele,230.30329886755294,195.0,230.30329886755294,50,2031
2_8_4,Adv,244.47281223449448,209.0,244.47281223449448,49,2354
2_8_4,Ele,238.55135135135134,207.0,238.55135135135134,50,1665
2_8_5,Adv,231.49324991768194,198.0,231.49324991768194,50,3037
2_8_5,Ele,252.32948243992607,209.0,252.32948243992607,49,2164
2_8_6,Adv,242.19073435189748,202.0,242.19073435189748,50,2029
2_8_6,Ele,235.365234375,201.0,235.365234375,49,1536
2_9_1,Adv,279.1628431741256,227.0,279.1628431741256,49,2659
2_9_1,Ele,248.72968349016253,209.0,248.72968349016253,50,2338
2_9_2,Adv,272.650365630713,221.0,272.650365630713,49,2188
2_9_2,Ele,245.67755344418052,208.0,245.67755344418052,50,1684
2_9_3,Adv,264.8779398630545,223.0,264.8779398630545,49,3359
2_9_3,Ele,234.45254237288137,200.0,234.45254237288137,50,2360
2_9_4,Adv,254.6187343358396,211.0,254.6187343358396,50,3192
2_9_4,Ele,248.63525371995422,209.0,248.63525371995422,49,2621
2_9_5,Adv,271.1702514389579,227.0,271.1702514389579,49,3301
2_9_5,Ele,238.19208824648155,204.0,238.19208824648155,50,2629
2_9_6,Adv,249.2164351851852,207.5,249.2164351851852,50,2592
2_9_6,Ele,250.4176804541768,225.0,250.4176804541768,49,1233
3_10_1,Adv,239.53447185325743,208.0,239.53447185325743,47,1581
3_10_1,Ele,229.2911479944675,194.0,229.2911479944675,47,1446
3_10_2,Adv,230.41285866099895,198.0,230.41285866099895,47,1882
3_10_2,Ele,232.83842794759826,203.0,232.83842794759826,47,1832
3_10_3,Adv,227.37302020753685,190.0,227.37302020753685,47,1831
3_10_3,Ele,227.98716452742124,202.0,227.98716452742124,47,1714
3_10_4,Adv,228.864119732178,196.0,228.864119732178,47,2539
3_10_4,Ele,229.19542385596398,201.0,229.19542385596398,47,2666
3_10_5,Adv,230.91144278606964,201.0,230.91144278606964,47,3015
3_10_5,Ele,219.28751431844216,190.0,219.28751431844216,47,2619
3_10_6,Adv,225.21856978085353,198.0,225.21856978085353,47,1734
3_10_6,Ele,219.1289552238806,190.0,219.1289552238806,47,1675
