text_id,align_idx,level,reading_regime,Sen_RT,Sen_TF,Sen_Sacc_RT,n_words,Sen_RT_per_word,Sen_TF_per_word,Sen_Sacc_RT_per_word,words_per_sec_based_Sen_RT,words_per_sec_based_Sen_TF,words_per_sec_based_Sen_Sacc_RT
1_1_7,56,Adv,Gathering0,7342.471430093625,6101.324251852395,1241.14717824123,16,458.90446438085155,381.3327657407747,77.57169864007687,2.1791027928856352,2.622381525640489,12.891299501379708
1_1_7,56,Ele,Gathering0,8305.139161050327,6928.444275660324,1376.6948853900024,18,461.3966200583515,384.913570870018,76.48304918833347,2.1673327383142356,2.5979858224788117,13.074792527394914
1_1_7,57,Adv,Gathering0,9098.521025822518,7585.742003279102,1512.7790225434155,20,454.9260512911259,379.28710016395513,75.63895112717077,2.198159452864701,2.636525206282334,13.220701571055807
1_1_7,57,Ele,Gathering0,8583.79500398735,7129.443194892312,1454.3518090950388,20,429.1897501993675,356.4721597446156,72.71759045475194,2.3299717654847982,2.8052681609593906,13.751830798384935
1_1_7,58,Adv,Gathering0,10915.306084326487,9211.935049396887,1703.3710349295995,26,419.81946478178793,354.3051942075726,65.51427057421537,2.381976263343997,2.8224254579066144,15.263850016725558
1_1_7,58,Ele,Gathering0,8404.133904577979,6817.5416336487915,1586.5922709291872,24,350.1722460240824,284.0642347353663,66.10801128871613,2.855737458791143,3.520330536970267,15.126759684732619
1_1_7,59,Adv,Gathering0,8980.952311278237,7643.26061439098,1337.6916968872583,16,561.3095194548898,477.70378839943623,83.60573105545365,1.781548264086346,2.093347434715844,11.960902528759952
1_1_7,60,Adv,Gathering0,7537.968442542173,6200.758622656948,1337.2098198852245,19,396.73518118643017,326.3557169819446,70.3794642044855,2.5205730356695772,3.064141205331862,14.208690152777079
1_2_1,61,Adv,Gathering0,10911.426462835969,9160.153627596801,1751.2728352391675,23,474.4098462102595,398.26754902594786,76.14229718431163,2.107882051749823,2.51087491924894,13.133304838168714
1_2_1,61,Ele,Gathering0,9844.007705170188,8275.967528404488,1568.0401767657,23,428.0003350073995,359.8246751480212,68.17565985937826,2.3364467693295414,2.7791312521539266,14.667991509911873
1_2_1,62,Adv,Gathering0,16862.010165473486,14013.791488661927,2848.2186768115603,35,481.7717190135282,400.39404253319793,81.3776764803303,2.0756718597920023,2.49753965786613,12.28838230889658
1_2_1,62,Ele,Gathering0,11281.25771334449,9390.460945188863,1890.7967681556274,23,490.48946579758655,408.28091066038536,82.20855513720119,2.038779769457223,2.449294037241472,12.164184108710577
1_2_1,63,Adv,Gathering0,13915.447994127586,11706.496824005777,2208.951170121809,32,434.85774981648706,365.82802575018053,69.02972406630653,2.2996025721560827,2.733524852147024,14.486513071375594
