l1_or_l2,batch,text_level,preview,version,measure,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
L2,1,paragraph,Hunting,V0,TF,21,54,0.18505709125655218,0.0,0.14430994581937975,0.09978370104156267,0.1592255431059081
L2,1,paragraph,Hunting,V1,TF,22,54,0.18764347041284513,0.0,0.14895982614679013,0.10251965597877548,0.15238414530941466
L2,1,paragraph,Hunting,V0,RR,21,54,0.17449720756099912,0.0,0.13323329732130731,0.09146390853429694,0.16026512330053308
L2,1,paragraph,Hunting,V1,RR,22,54,0.14668783578810088,2.4091839634365897e-14,0.10605942517051287,0.0717612758153943,0.11050734834479854
L2,1,paragraph,Hunting,V0,SR,21,54,0.15722406108749326,5.88418203051333e-15,0.11510451189281322,0.0785959079561365,0.10360804484901343
L2,1,paragraph,Hunting,V1,SR,22,54,0.15017711813283308,5.662137425588298e-15,0.10971832461008753,0.07443018681570335,0.10873419718059354
L2,1,sentence,Gathering,V0,TF,30,253,0.24084994299779763,0.0,0.21819748887451254,0.14798216885490065,0.1922005017802526
L2,1,sentence,Gathering,V1,TF,30,252,0.2604516854437923,0.0,0.24237708339853972,0.16437566120502645,0.20535765630977199
L2,1,sentence,Gathering,V0,RR,30,253,0.15292232947460954,0.0,0.12306930857174929,0.08450063835038188,0.12252039799046342
L2,1,sentence,Gathering,V1,RR,30,252,0.16848556500970294,0.0,0.12559954810180401,0.08699324336449918,0.11698171465620909
L2,1,sentence,Gathering,V0,SR,30,253,0.21279774522585204,0.0,0.18627943586160023,0.13022325829443757,0.18230429948535476
L2,1,sentence,Gathering,V1,SR,30,252,0.1862565473097259,0.0,0.15857239082960423,0.1107631016607638,0.15437283209796573
L2,1,sentence,Hunting,V0,TF,21,253,0.2018115410446334,0.0,0.16255492143696104,0.1100363875230344,0.1560240447698254
L2,1,sentence,Hunting,V1,TF,22,252,0.2322825174399548,0.0,0.1944831092740744,0.13166613604019378,0.1822096970805134
L2,1,sentence,Hunting,V0,RR,21,253,0.1481898386494032,0.0,0.11866599258621732,0.08166514698866434,0.1357323646764814
L2,1,sentence,Hunting,V1,RR,22,252,0.16283938632039863,0.0,0.11056433955634754,0.07598271774493061,0.11178447997618435
L2,1,sentence,Hunting,V0,SR,21,253,0.18576348619351785,0.0,0.14544778332500805,0.10100188689276203,0.14953594042011273
L2,1,sentence,Hunting,V1,SR,22,252,0.19202368605850617,0.0,0.15416067597467076,0.10695360266652784,0.1535664914027105
L2,2,paragraph,Gathering,V0,TF,24,54,0.29122143870571543,0.0,0.2604049795190074,0.18030362875864653,0.2799076133586799
