text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
3_4_1,Adv,145.7376454714117,154.0,211.70611294867084,98,11858
3_4_1,Ele,132.7774988043998,148.0,201.73496821071754,102,8364
3_4_2,Adv,146.12511068943707,154.0,211.7929959662633,102,15810
3_4_2,Ele,148.40939479239972,155.0,212.3496538703587,98,11368
3_4_3,Adv,150.45466733702028,159.0,212.89139198482334,102,11934
3_4_3,Ele,142.846556122449,152.0,210.7484004516372,98,7840
3_4_4,Adv,148.18321078431373,156.0,212.34085521116867,102,16320
3_4_4,Ele,144.26208378088077,152.0,208.7148407148407,98,11172
3_4_5,Adv,150.5100147585916,158.0,209.7147473560517,102,9486
3_4_5,Ele,137.08026381284222,146.0,206.98553175497932,98,8036
3_5_1,Adv,146.21322064179208,154.0,215.10725839061868,99,14553
3_5_1,Ele,146.49598930481284,158.0,208.9607170099161,102,11220
3_5_2,Adv,139.49581177629958,146.0,214.1503403933434,99,16236
3_5_2,Ele,135.67835595776774,146.0,209.8681831437737,102,15912
3_5_3,Adv,145.66216216216216,156.0,207.49710619023654,102,11322
3_5_3,Ele,142.04746494066882,152.0,208.68145800316958,99,10197
3_5_4,Adv,140.3935326418548,150.0,208.954192311573,99,14751
3_5_4,Ele,139.98322440087145,153.0,205.67317541613318,102,9180
3_6_1,Adv,139.97402597402598,150.0,209.0323239197006,99,13167
3_6_1,Ele,140.62565026010404,152.0,209.398778489498,102,9996
3_6_2,Adv,148.81774349083895,160.0,205.81106912647255,102,6222
3_6_2,Ele,148.84268918695147,159.0,204.65869763205828,99,6039
3_6_3,Adv,156.3350220836581,162.0,214.44529579472558,99,7698
3_6_3,Ele,148.04541522491348,156.0,210.8940234134319,102,6936
3_6_4,Adv,150.8329598506069,159.0,212.44358232509205,102,10710
3_6_4,Ele,145.96224747474747,156.0,207.13510123633756,99,7920
3_6_5,Adv,145.5112771255781,153.0,210.55914753423247,99,14055
3_6_5,Ele,138.4096256684492,149.0,206.7300319488818,102,11220
3_6_6,Adv,131.9191176470588,142.0,206.15914966963516,102,16320
3_6_6,Ele,139.51742779911794,148.0,207.81267217630855,99,14058
3_6_7,Adv,150.36520130886328,157.0,207.6457760314342,99,7029
3_6_7,Ele,139.07525951557093,150.0,205.37066212476049,102,6936
3_7_1,Adv,156.3623709025595,163.0,213.36948529411765,102,13362
3_7_1,Ele,151.68170072821235,158.0,214.11816071625952,99,12771
3_7_2,Adv,137.1579131652661,149.0,208.31897468623697,102,14280
3_7_2,Ele,138.62912140270632,151.0,206.23390983838956,99,10494
3_7_3,Adv,148.36865628604383,157.0,210.01734693877552,102,13872
3_7_3,Ele,152.7144723092999,160.0,213.56222601071602,99,11484
3_7_4,Adv,154.6164498211976,160.0,216.4136315228967,99,13143
3_7_4,Ele,140.96894177518337,151.0,212.04851964426433,102,13362
3_7_5,Adv,146.5636790543276,154.0,213.06591337099812,99,12351
3_7_5,Ele,144.2161444016859,155.0,206.80265405334384,102,10914
3_7_6,Adv,137.64785373608902,149.0,203.69219709841852,102,11322
3_7_6,Ele,139.07548007548007,151.0,207.95535269709544,99,9009
3_7_7,Adv,137.58196833196834,147.0,210.64273772204805,99,14652
3_7_7,Ele,131.7285067873303,142.0,205.4964705882353,102,13260
3_8_1,Adv,134.3155262104842,143.0,209.56576482830386,98,14994
3_8_1,Ele,133.5367245258759,145.0,206.96612280483248,102,12444
3_8_2,Adv,136.96879509379508,146.0,212.52588860901204,99,11088
3_8_2,Ele,139.7235294117647,151.0,208.73262815296988,102,9180
3_8_3,Adv,134.72340083574414,145.0,205.8315531000614,102,12444
3_8_3,Ele,139.340206185567,149.0,210.6887104393009,99,9603
3_8_4,Adv,136.32010202454967,148.0,205.73463250330806,102,12546
3_8_4,Ele,133.26705833848692,145.0,204.00078889239506,99,9702
3_8_5,Adv,155.6818181818182,163.0,216.07455790982954,99,8712
3_8_5,Ele,155.06179971988794,162.0,206.1235745869211,102,5712
3_8_6,Adv,143.8094768826476,152.0,209.69560531672855,99,12177
3_8_6,Ele,140.62943510737628,152.0,205.0566712049013,102,8568
3_9_1,Adv,143.55320420851268,154.0,214.06293456944198,102,8364
3_9_1,Ele,139.51507064364208,152.5,208.56864585777987,98,6370
3_9_2,Adv,138.23251028806584,149.0,209.4401247019989,102,16524
3_9_2,Ele,142.6506156181481,151.0,212.55981402362403,98,11858
3_9_3,Adv,133.28378112067267,146.0,204.3076225959118,102,15223
3_9_3,Ele,134.8474958263773,146.0,203.94811261204393,98,11980
3_9_4,Adv,140.68630678077682,150.0,207.452979007402,98,12152
3_9_4,Ele,141.52187028657616,155.0,205.50246395327613,102,7956
