text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_5,15,Ele,268.4896331738437,208.0,373.88784008883954,114,2508
1_10_5,16,Adv,360.76027203173703,243.0,480.0614630467572,114,3529
1_10_5,16,Ele,297.0215643274854,213.0,405.1101694915254,114,2736
1_10_5,17,Adv,274.4523206751055,193.0,395.07531584062195,114,5925
1_10_5,17,Ele,214.8940620782726,166.0,336.11926121372034,114,2964
1_10_6,18,Adv,303.39510818438384,224.0,409.2753807106599,114,3189
1_10_6,18,Ele,325.9398595258999,226.0,440.64747774480713,114,2278
1_10_6,19,Adv,309.1696403285188,220.0,423.4592707525213,114,3531
1_10_6,19,Ele,272.4406599254923,190.0,398.9992205767732,114,3758
1_10_6,20,Adv,262.905311778291,189.0,382.00671140939596,114,2165
1_10_6,20,Ele,253.6,167.0,401.76197836166926,114,2050
1_10_6,21,Adv,252.85480093676816,189.5,376.85514834205935,114,1708
1_10_6,22,Adv,203.2202216066482,157.0,330.4617117117117,114,2166
1_10_6,22,Ele,185.82448036951502,152.0,304.0891912320484,114,2165
1_10_6,23,Adv,238.05540318156883,182.0,351.11245954692555,114,1823
1_10_7,24,Adv,229.60757271815447,178.5,344.7571536144578,114,3988
1_10_7,24,Ele,295.47032967032965,204.0,388.55202312138726,114,1365
1_10_7,25,Adv,267.46287069988136,196.0,380.3495276653171,114,4215
1_10_7,25,Ele,270.53485181119646,194.0,379.3108888033859,114,3644
1_10_7,26,Adv,215.92587719298245,182.0,324.3155467720685,114,2280
1_10_7,26,Ele,231.58815789473684,179.5,346.69796454366383,114,2280
1_10_7,27,Adv,176.1436148510812,145.5,296.211320754717,114,4902
1_10_7,27,Ele,183.7562527424309,142.0,312.8729921553978,114,4558
1_1_1,28,Adv,277.2621817038667,186.0,411.7511671335201,114,3181
1_1_1,28,Ele,246.83412669351887,181.0,363.79060982191044,114,2731
1_1_1,29,Adv,242.0778947368421,173.0,366.3951141795008,114,2850
1_1_1,29,Ele,222.29987452948558,170.0,335.97914032869784,114,2391
1_1_1,30,Adv,309.83620386643236,222.0,410.18334108887854,114,2845
1_1_1,30,Ele,216.08025078369906,171.0,329.8066985645933,114,3190
1_1_1,31,Adv,273.3827479338843,196.0,400.6578349735049,114,3872
1_1_1,31,Ele,235.2405206564799,176.5,356.64521664521664,114,3534
1_1_2,32,Adv,278.18654970760235,205.0,373.3901098901099,114,1710
1_1_2,33,Adv,275.9688498402556,183.0,426.55925925925925,114,1252
1_1_2,33,Ele,291.741214057508,194.0,408.5682326621924,114,1252
1_1_2,34,Adv,244.14249422632795,186.0,358.4730417090539,114,4330
1_1_2,34,Ele,248.95664160401003,184.0,363.9930377427629,114,3990
1_1_2,35,Adv,219.98808777429468,167.0,342.3229268292683,114,1595
1_1_2,35,Ele,216.43859649122808,172.0,312.0657672849916,114,1710
1_1_2,36,Adv,185.22755417956657,151.0,301.91000841042893,114,1938
1_1_2,36,Ele,168.40350877192984,142.0,290.4156050955414,114,2166
1_1_2,37,Adv,224.98291849682772,134.0,407.5950486295314,114,2049
1_1_2,37,Ele,150.64736842105262,110.0,279.7035830618893,114,570
1_1_3,38,Adv,285.13017370791334,190.0,414.96941323345817,114,4663
1_1_3,38,Ele,246.06210226025894,173.0,372.7742686170213,114,4557
1_1_3,39,Adv,293.1003134796238,210.0,410.26327336551117,114,3190
1_1_3,39,Ele,259.49162011173183,199.0,379.83995327102804,114,1253
1_1_3,40,Adv,181.52786377708978,157.0,294.39414225941425,114,1938
1_1_3,40,Ele,188.82602339181287,160.0,284.4867841409692,114,1368
1_1_4,41,Adv,318.20654149000603,218.0,430.0933278755628,114,3302
1_1_4,41,Ele,288.26844328891775,206.0,396.1598928092899,114,3077
1_1_4,42,Adv,273.7048280907096,192.0,393.01943277310926,114,2734
1_1_4,42,Ele,242.82043096568236,176.0,361.34679334916865,114,2506
1_1_4,43,Adv,318.604532839963,230.0,442.120025673941,114,2162
1_1_4,43,Ele,278.61013443640127,186.0,409.75817490494296,114,1934
1_1_4,44,Adv,213.11824480369515,168.0,339.01616458486404,114,2165
1_1_5,45,Adv,256.211855104281,186.0,371.07949125596184,114,1822
1_1_5,45,Ele,255.07523338824822,193.0,350.29562594268475,114,1821
1_1_5,46,Adv,200.2613506295307,148.0,336.8966623876765,114,2621
1_1_5,46,Ele,218.9918080748976,168.0,331.49424269264836,114,1709
1_1_5,47,Adv,168.390350877193,134.5,293.52446483180427,114,1140
1_1_5,48,Adv,257.50185622679714,179.0,388.8776758409786,114,2963
1_1_5,48,Ele,257.43337151584575,176.0,381.1294516676088,114,2619
1_1_6,49,Adv,291.8745762711864,197.0,413.1621880998081,114,2950
1_1_6,50,Adv,281.98729227761487,189.0,418.0768115942029,114,2046
1_1_6,51,Adv,308.2528398680835,213.0,418.518407960199,114,2729
1_1_6,51,Ele,274.9628503883823,205.0,369.2358276643991,114,2961
1_1_6,52,Adv,258.2835623241185,185.0,386.3062639267145,114,6041
1_1_6,52,Ele,233.0406056434962,171.0,357.0872660163459,114,5812
1_1_7,53,Adv,318.4791666666667,214.0,417.3175287356322,114,912
1_1_7,53,Ele,282.198682766191,201.0,365.6941678520626,114,911
1_1_7,54,Adv,229.2085020242915,170.0,356.0660377358491,114,1482
1_1_7,55,Adv,245.4947888096544,175.0,383.82246998284734,114,1823
1_1_7,55,Ele,201.54276315789474,155.0,320.78010471204186,114,1824
1_1_7,56,Adv,284.2319078947368,193.0,407.57783018867923,114,1824
1_1_7,56,Ele,269.76975609756096,201.0,367.94943446440453,114,2050
1_1_7,57,Adv,285.3293807641634,202.0,399.56642066420665,114,2277
1_1_7,57,Ele,261.5335673541027,197.0,372.05680399500625,114,2279
1_1_7,58,Adv,236.88529014844804,168.0,366.64647519582246,114,2964
1_1_7,58,Ele,175.87755847953215,151.0,296.1236923076923,114,2736
