text_id,align_idx,level,RegRateFirstPass,RegRateTotal,n_subjects,n_rows
1_4_2,120,Adv,0.23012200252419016,0.247638326585695,114,4446
1_4_2,120,Ele,0.18806419257773319,0.17343358395989975,114,3990
1_4_2,121,Adv,0.30238095238095236,0.26374269005847956,114,1710
1_4_2,121,Ele,0.1968019680196802,0.21461988304093568,114,1710
1_4_2,122,Adv,0.2196929592376919,0.18872939925571505,114,3762
1_4_2,122,Ele,0.2789408866995074,0.2198641765704584,114,3534
1_4_2,123,Adv,0.2242152466367713,0.17007797270955166,114,2052
1_4_2,123,Ele,0.37719298245614036,0.2744360902255639,114,798
1_4_2,124,Adv,0.2835570469798658,0.22886762360446572,114,1254
1_4_2,124,Ele,0.19484702093397746,0.18660287081339713,114,1254
1_4_2,125,Adv,0.2918848167539267,0.26045883940620784,114,1482
1_4_2,125,Ele,0.21709633649932158,0.20917678812415655,114,1482
1_4_2,126,Adv,0.20841683366733466,0.1768236380424746,114,2166
1_4_2,126,Ele,0.21298405466970388,0.19444444444444445,114,2052
1_4_2,127,Adv,0.4,0.3087719298245614,114,1140
1_4_2,127,Ele,0.46555323590814196,0.2942583732057416,114,1254
1_4_3,128,Adv,0.1998341625207297,0.23176361957525393,114,2166
1_4_3,128,Ele,0.1982484076433121,0.24238227146814403,114,2166
1_4_3,129,Adv,0.30033003300330036,0.38596491228070173,114,2508
1_4_3,129,Ele,0.26788990825688075,0.2706140350877193,114,2280
1_4_3,130,Adv,0.32133333333333336,0.3152046783625731,114,1710
1_4_3,130,Ele,0.26578073089701,0.2551834130781499,114,1254
1_4_3,131,Adv,0.23315602836879432,0.2543859649122807,114,2394
1_4_3,131,Ele,0.26519337016574585,0.25146198830409355,114,2052
1_4_3,132,Adv,0.2549019607843137,0.24652147610405323,114,3306
1_4_3,132,Ele,0.33116883116883117,0.29197994987468673,114,1596
1_4_4,133,Adv,0.2695086705202312,0.27631578947368424,114,2736
1_4_4,133,Ele,0.258408531583265,0.2794486215538847,114,2394
1_4_4,134,Adv,0.3171021377672209,0.28121775025799794,114,1938
1_4_4,134,Ele,0.27832512315270935,0.2868937048503612,114,1938
1_4_4,135,Adv,0.32349165596919127,0.37786774628879893,114,1482
1_4_4,135,Ele,0.4125766871165644,0.4415204678362573,114,1368
1_4_4,136,Adv,0.2717678100263852,0.2769423558897243,114,1596
1_4_4,136,Ele,0.36893203883495146,0.29505582137161085,114,1254
1_4_4,137,Adv,0.24082232011747431,0.23684210526315788,114,1368
1_4_4,137,Ele,0.25158562367864695,0.21442495126705652,114,1026
1_4_4,138,Adv,0.30065717415115006,0.29566563467492263,114,3876
1_4_4,138,Ele,0.31040462427745663,0.31392876129718233,114,3762
1_4_4,139,Adv,0.38922155688622756,0.3308270676691729,114,1596
1_4_4,139,Ele,0.36312849162011174,0.33458646616541354,114,798
1_4_4,140,Adv,0.40827338129496404,0.3883572567783094,114,1254
1_4_4,140,Ele,0.31010928961748635,0.30431848852901483,114,1482
1_4_4,141,Adv,0.24610591900311526,0.26096491228070173,114,2280
1_4_5,142,Adv,0.1647577092511013,0.20949432404540763,114,1938
1_4_5,142,Ele,0.17200365965233302,0.24707602339181287,114,2052
