pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
SkipRateFirstPass,Mamba 370M Mean,Adv,0.0373355221785251,0.0166852057842046,0.8447089508690498,0.9302651097406684,0.031237191613737048,0.006837331368184565,0.5285412568564417,0.4812536717955323,0.15865519810760156,0.1819127402527137,0.3148063335300713,0.3609543429048304,ns,ns,ns,ns
SkipRateFirstPass,Mamba 790M Mean,Adv,0.0651374166460196,0.0651835372636262,0.7323689590097812,0.7321863531135642,0.05768930209273248,0.05870750738596679,0.5173042477218687,0.46861627017689594,0.15485860050110584,0.18202569302921393,0.3072730602012052,0.3611784657186821,ns,ns,ns,ns
SkipRateFirstPass,Mistral-v0.1 7B Mean,Adv,0.0719388245954283,0.000222469410456,0.7055995928894839,0.999069079740911,0.0707052748213069,0.003253796648212513,0.5033201195946505,0.4893751231938739,0.1476820389144636,0.181807831240251,0.2930332050474436,0.3607461806639359,ns,ns,ns,ns
SkipRateFirstPass,Mistral-v0.3 7B Mean,Adv,0.0476025006959114,0.0166852057842046,0.8027480029016226,0.9302651097406684,0.04698616407780798,0.015017533944350979,0.5196948581982007,0.4887753088897596,0.14712224649719563,0.18706819537883296,0.2919224554437745,0.3711838843588186,ns,ns,ns,ns
SkipRateFirstPass,OPT 1.3B Mean,Adv,0.0194790047157889,0.0402669632925472,0.9186241845827792,0.8326804047464436,0.021668850342057424,0.04664869452288747,0.5619252263088367,0.49110591043853447,0.14693326136579532,0.17463454924834174,0.2915474679424669,0.34651283293763757,ns,ns,ns,ns
SkipRateFirstPass,OPT 2.7B Mean,Adv,0.009047955577476,0.0153503893214682,0.962152370600182,0.93583202046693,0.010941307845384942,0.008942281668679736,0.5636098705188509,0.5062450638773321,0.14499504275702152,0.17023588618547525,0.28770162172320835,0.3377849311243228,ns,ns,ns,ns
SkipRateFirstPass,OPT 350M Mean,Adv,0.0174061610023577,0.0166852057842046,0.9272596587270197,0.9302651097406684,0.021061339888051103,0.023573517985716608,0.557907461125422,0.5037272079364445,0.1520635600033535,0.1701743159313462,0.3017270934654117,0.3376627623823712,ns,ns,ns,ns
SkipRateFirstPass,OPT 6.7B Mean,Adv,0.0133923714608925,0.0060066740823136,0.9440033163062638,0.9748690768685238,0.009125391769544635,0.006983334643644684,0.5703986711833923,0.5169748488742937,0.13809662449884944,0.16663549728395427,0.2740136632767463,0.3306409784339011,ns,ns,ns,ns
SkipRateFirstPass,Pythia 1.4B Mean,Adv,0.0249278759645224,0.0140155728587319,0.895969867851759,0.9414018983829736,0.019459434029096376,0.021500000090707027,0.5456462739880226,0.47249036915670223,0.15451493981165115,0.18449725799664127,0.30659116283562204,0.36608258682380646,ns,ns,ns,ns
SkipRateFirstPass,Pythia 160M Mean,Adv,0.0261708892731797,0.0491657397107897,0.8908124692594848,0.7964029673512731,0.019505691797816666,0.040492584807625125,0.511927785021844,0.46310199440470734,0.16981368760212548,0.18213051037655334,0.3369471975383372,0.36138644607608517,ns,ns,ns,ns
