run_name,col_a,col_b,col_a_None,col_b_None,col_a_const,col_b_const,n_vals
CV,Adv_gpt-5_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,diff_gemini-2.0-flash_simple_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_gemini-2.0-flash_simple_prompt,diff_RegRateTotal,False,False,True,False,3
CV,Adv_gemini-2.5-pro_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gemini-2.5-pro_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Ele_gemini-2.5-pro_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
