pred_col,level_type,text_col_1,text_col_2
mean_TF,Adv,gemini-2.5-pro_clear_prompt,PLL_bert-large-uncased
mean_TF,Adv,gemini-2.5-pro_clear_prompt,PLL_roberta-base
mean_TF,Adv,gemini-2.5-pro_clear_prompt,PLL_roberta-large
mean_TF,Adv,claude-sonnet-4-0_clear_prompt,PLL_bert-base-uncased
mean_TF,Adv,claude-sonnet-4-0_clear_prompt,PLL_bert-large-uncased
mean_TF,Adv,claude-sonnet-4-0_clear_prompt,PLL_roberta-base
mean_TF,Adv,claude-sonnet-4-0_clear_prompt,PLL_roberta-large
mean_TF,Adv,text_evaluator,PLL_bert-base-uncased
mean_TF,Adv,text_evaluator,PLL_bert-large-uncased
mean_TF,Adv,text_evaluator,PLL_roberta-base
mean_TF,Adv,text_evaluator,PLL_roberta-large
mean_TF,Adv,lexile,PLL_bert-base-uncased
mean_TF,Adv,lexile,PLL_bert-large-uncased
mean_TF,Adv,lexile,PLL_roberta-base
mean_TF,Adv,lexile,PLL_roberta-large
mean_TF,Adv,PLL_bert-base-uncased,cpidr_density
mean_TF,Adv,PLL_bert-base-uncased,avg_integration_cost
mean_TF,Adv,PLL_bert-base-uncased,avg_embedding_depth
mean_TF,Adv,PLL_bert-base-uncased,mean_entropy_pythia
mean_TF,Adv,PLL_bert-base-uncased,word_length
mean_TF,Adv,PLL_bert-base-uncased,wordFreq_frequency
mean_TF,Adv,PLL_bert-base-uncased,depid_density
mean_TF,Adv,PLL_bert-base-uncased,max_embedding_depth
mean_TF,Adv,PLL_bert-base-uncased,max_integration_cost
mean_TF,Adv,PLL_bert-base-uncased,total_integration_cost
mean_TF,Adv,PLL_bert-base-uncased,CAREC_M
mean_TF,Adv,PLL_bert-base-uncased,mean_entropy_gpt2
mean_TF,Adv,PLL_bert-base-uncased,PLL_bert-large-uncased
mean_TF,Adv,PLL_bert-base-uncased,PLL_roberta-base
mean_TF,Adv,PLL_bert-base-uncased,PLL_roberta-large
mean_TF,Adv,PLL_bert-base-uncased,llama-3.3-70b-versatile_simple_prompt
mean_TF,Adv,PLL_bert-base-uncased,gpt-4o_simple_prompt
mean_TF,Adv,PLL_bert-base-uncased,gpt-5_simple_prompt
mean_TF,Adv,PLL_bert-base-uncased,gemini-2.0-flash_simple_prompt
mean_TF,Adv,PLL_bert-base-uncased,gemini-2.5-pro_simple_prompt
mean_TF,Adv,PLL_bert-base-uncased,claude-sonnet-4-0_simple_prompt
mean_TF,Adv,PLL_bert-base-uncased,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Adv,PLL_bert-base-uncased,gpt-4o_clear_specific_prompt
mean_TF,Adv,PLL_bert-base-uncased,gpt-5_clear_specific_prompt
mean_TF,Adv,PLL_bert-base-uncased,gemini-2.0-flash_clear_specific_prompt
mean_TF,Adv,PLL_bert-base-uncased,gemini-2.5-pro_clear_specific_prompt
mean_TF,Adv,PLL_bert-base-uncased,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Adv,PLL_bert-base-uncased,Pythia 70M Mean
mean_TF,Adv,cpidr_density,PLL_bert-large-uncased
mean_TF,Adv,cpidr_density,PLL_roberta-base
mean_TF,Adv,cpidr_density,PLL_roberta-large
mean_TF,Adv,avg_integration_cost,PLL_bert-large-uncased
mean_TF,Adv,avg_integration_cost,PLL_roberta-base
mean_TF,Adv,avg_integration_cost,PLL_roberta-large
mean_TF,Adv,avg_embedding_depth,PLL_bert-large-uncased
mean_TF,Adv,avg_embedding_depth,PLL_roberta-base
mean_TF,Adv,avg_embedding_depth,PLL_roberta-large
mean_TF,Adv,mean_entropy_pythia,PLL_bert-large-uncased
mean_TF,Adv,mean_entropy_pythia,PLL_roberta-base
mean_TF,Adv,mean_entropy_pythia,PLL_roberta-large
mean_TF,Adv,word_length,PLL_bert-large-uncased
mean_TF,Adv,word_length,PLL_roberta-base
mean_TF,Adv,word_length,PLL_roberta-large
mean_TF,Adv,wordFreq_frequency,PLL_bert-large-uncased
mean_TF,Adv,wordFreq_frequency,PLL_roberta-base
mean_TF,Adv,wordFreq_frequency,PLL_roberta-large
mean_TF,Adv,depid_density,PLL_bert-large-uncased
mean_TF,Adv,depid_density,PLL_roberta-base
mean_TF,Adv,depid_density,PLL_roberta-large
mean_TF,Adv,max_embedding_depth,PLL_bert-large-uncased
mean_TF,Adv,max_embedding_depth,PLL_roberta-base
mean_TF,Adv,max_embedding_depth,PLL_roberta-large
mean_TF,Adv,max_integration_cost,PLL_bert-large-uncased
mean_TF,Adv,max_integration_cost,PLL_roberta-base
mean_TF,Adv,max_integration_cost,PLL_roberta-large
mean_TF,Adv,total_integration_cost,PLL_bert-large-uncased
mean_TF,Adv,total_integration_cost,PLL_roberta-base
mean_TF,Adv,total_integration_cost,PLL_roberta-large
mean_TF,Adv,CAREC_M,PLL_bert-large-uncased
mean_TF,Adv,CAREC_M,PLL_roberta-base
mean_TF,Adv,CAREC_M,PLL_roberta-large
mean_TF,Adv,mean_entropy_gpt2,PLL_bert-large-uncased
mean_TF,Adv,mean_entropy_gpt2,PLL_roberta-base
mean_TF,Adv,mean_entropy_gpt2,PLL_roberta-large
mean_TF,Adv,PLL_bert-large-uncased,PLL_roberta-base
mean_TF,Adv,PLL_bert-large-uncased,PLL_roberta-large
mean_TF,Adv,PLL_bert-large-uncased,llama-3.3-70b-versatile_simple_prompt
mean_TF,Adv,PLL_bert-large-uncased,gpt-4o_simple_prompt
mean_TF,Adv,PLL_bert-large-uncased,gpt-5_simple_prompt
mean_TF,Adv,PLL_bert-large-uncased,gemini-2.0-flash_simple_prompt
mean_TF,Adv,PLL_bert-large-uncased,gemini-2.5-pro_simple_prompt
mean_TF,Adv,PLL_bert-large-uncased,claude-sonnet-4-0_simple_prompt
mean_TF,Adv,PLL_bert-large-uncased,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Adv,PLL_bert-large-uncased,gpt-4o_clear_specific_prompt
mean_TF,Adv,PLL_bert-large-uncased,gpt-5_clear_specific_prompt
mean_TF,Adv,PLL_bert-large-uncased,gemini-2.0-flash_clear_specific_prompt
mean_TF,Adv,PLL_bert-large-uncased,gemini-2.5-pro_clear_specific_prompt
mean_TF,Adv,PLL_bert-large-uncased,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Adv,PLL_bert-large-uncased,Pythia 70M Mean
mean_TF,Adv,PLL_roberta-base,PLL_roberta-large
mean_TF,Adv,PLL_roberta-base,llama-3.3-70b-versatile_simple_prompt
mean_TF,Adv,PLL_roberta-base,gpt-4o_simple_prompt
mean_TF,Adv,PLL_roberta-base,gpt-5_simple_prompt
mean_TF,Adv,PLL_roberta-base,gemini-2.0-flash_simple_prompt
mean_TF,Adv,PLL_roberta-base,gemini-2.5-pro_simple_prompt
mean_TF,Adv,PLL_roberta-base,claude-sonnet-4-0_simple_prompt
mean_TF,Adv,PLL_roberta-base,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Adv,PLL_roberta-base,gpt-4o_clear_specific_prompt
mean_TF,Adv,PLL_roberta-base,gpt-5_clear_specific_prompt
mean_TF,Adv,PLL_roberta-base,gemini-2.0-flash_clear_specific_prompt
mean_TF,Adv,PLL_roberta-base,gemini-2.5-pro_clear_specific_prompt
mean_TF,Adv,PLL_roberta-base,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Adv,PLL_roberta-base,Pythia 70M Mean
mean_TF,Adv,PLL_roberta-large,llama-3.3-70b-versatile_simple_prompt
mean_TF,Adv,PLL_roberta-large,gpt-4o_simple_prompt
mean_TF,Adv,PLL_roberta-large,gpt-5_simple_prompt
mean_TF,Adv,PLL_roberta-large,gemini-2.0-flash_simple_prompt
mean_TF,Adv,PLL_roberta-large,gemini-2.5-pro_simple_prompt
mean_TF,Adv,PLL_roberta-large,claude-sonnet-4-0_simple_prompt
mean_TF,Adv,PLL_roberta-large,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Adv,PLL_roberta-large,gpt-4o_clear_specific_prompt
mean_TF,Adv,PLL_roberta-large,gpt-5_clear_specific_prompt
mean_TF,Adv,PLL_roberta-large,gemini-2.0-flash_clear_specific_prompt
mean_TF,Adv,PLL_roberta-large,gemini-2.5-pro_clear_specific_prompt
mean_TF,Adv,PLL_roberta-large,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Adv,PLL_roberta-large,Pythia 70M Mean
mean_TF,Ele,flesch_reading_ease,PLL_bert-base-uncased
mean_TF,Ele,flesch_reading_ease,PLL_bert-large-uncased
mean_TF,Ele,flesch_reading_ease,PLL_roberta-base
mean_TF,Ele,flesch_reading_ease,PLL_roberta-large
mean_TF,Ele,dale_chall_score,PLL_bert-base-uncased
mean_TF,Ele,dale_chall_score,PLL_bert-large-uncased
mean_TF,Ele,dale_chall_score,PLL_roberta-base
mean_TF,Ele,dale_chall_score,PLL_roberta-large
mean_TF,Ele,gunning_fog_index,PLL_bert-base-uncased
mean_TF,Ele,gunning_fog_index,PLL_bert-large-uncased
mean_TF,Ele,gunning_fog_index,PLL_roberta-base
mean_TF,Ele,gunning_fog_index,PLL_roberta-large
mean_TF,Ele,ARI,PLL_bert-base-uncased
mean_TF,Ele,ARI,PLL_bert-large-uncased
mean_TF,Ele,ARI,PLL_roberta-base
mean_TF,Ele,ARI,PLL_roberta-large
mean_TF,Ele,smog_index,PLL_bert-base-uncased
mean_TF,Ele,smog_index,PLL_bert-large-uncased
mean_TF,Ele,smog_index,PLL_roberta-base
mean_TF,Ele,smog_index,PLL_roberta-large
mean_TF,Ele,coleman_liau_index,PLL_bert-base-uncased
mean_TF,Ele,coleman_liau_index,PLL_bert-large-uncased
mean_TF,Ele,coleman_liau_index,PLL_roberta-base
mean_TF,Ele,coleman_liau_index,PLL_roberta-large
mean_TF,Ele,flesch_kincaid_grade_score,PLL_bert-base-uncased
mean_TF,Ele,flesch_kincaid_grade_score,PLL_bert-large-uncased
mean_TF,Ele,flesch_kincaid_grade_score,PLL_roberta-base
mean_TF,Ele,flesch_kincaid_grade_score,PLL_roberta-large
mean_TF,Ele,CML2RI,PLL_bert-base-uncased
mean_TF,Ele,CML2RI,PLL_bert-large-uncased
mean_TF,Ele,CML2RI,PLL_roberta-base
mean_TF,Ele,CML2RI,PLL_roberta-large
mean_TF,Ele,CAREC,PLL_bert-base-uncased
mean_TF,Ele,CAREC,PLL_bert-large-uncased
mean_TF,Ele,CAREC,PLL_roberta-base
mean_TF,Ele,CAREC,PLL_roberta-large
mean_TF,Ele,CARES,PLL_bert-base-uncased
mean_TF,Ele,CARES,PLL_bert-large-uncased
mean_TF,Ele,CARES,PLL_roberta-base
mean_TF,Ele,CARES,PLL_roberta-large
mean_TF,Ele,SBERT,PLL_bert-base-uncased
mean_TF,Ele,SBERT,PLL_bert-large-uncased
mean_TF,Ele,SBERT,PLL_roberta-base
mean_TF,Ele,SBERT,PLL_roberta-large
mean_TF,Ele,llama-3.3-70b-versatile_clear_prompt,PLL_bert-base-uncased
mean_TF,Ele,llama-3.3-70b-versatile_clear_prompt,PLL_bert-large-uncased
mean_TF,Ele,llama-3.3-70b-versatile_clear_prompt,PLL_roberta-base
mean_TF,Ele,llama-3.3-70b-versatile_clear_prompt,PLL_roberta-large
mean_TF,Ele,gpt-4o_clear_prompt,PLL_bert-base-uncased
mean_TF,Ele,gpt-4o_clear_prompt,PLL_bert-large-uncased
mean_TF,Ele,gpt-4o_clear_prompt,PLL_roberta-base
mean_TF,Ele,gpt-4o_clear_prompt,PLL_roberta-large
mean_TF,Ele,gpt-5_clear_prompt,PLL_bert-base-uncased
mean_TF,Ele,gpt-5_clear_prompt,PLL_bert-large-uncased
mean_TF,Ele,gpt-5_clear_prompt,PLL_roberta-base
mean_TF,Ele,gpt-5_clear_prompt,PLL_roberta-large
mean_TF,Ele,gemini-2.0-flash_clear_prompt,PLL_bert-base-uncased
mean_TF,Ele,gemini-2.0-flash_clear_prompt,PLL_bert-large-uncased
mean_TF,Ele,gemini-2.0-flash_clear_prompt,PLL_roberta-base
mean_TF,Ele,gemini-2.0-flash_clear_prompt,PLL_roberta-large
mean_TF,Ele,gemini-2.5-pro_clear_prompt,PLL_bert-base-uncased
mean_TF,Ele,gemini-2.5-pro_clear_prompt,PLL_bert-large-uncased
mean_TF,Ele,gemini-2.5-pro_clear_prompt,PLL_roberta-base
mean_TF,Ele,gemini-2.5-pro_clear_prompt,PLL_roberta-large
mean_TF,Ele,claude-sonnet-4-0_clear_prompt,PLL_bert-base-uncased
mean_TF,Ele,claude-sonnet-4-0_clear_prompt,PLL_bert-large-uncased
mean_TF,Ele,claude-sonnet-4-0_clear_prompt,PLL_roberta-base
mean_TF,Ele,claude-sonnet-4-0_clear_prompt,PLL_roberta-large
mean_TF,Ele,text_evaluator,PLL_bert-base-uncased
mean_TF,Ele,text_evaluator,PLL_bert-large-uncased
mean_TF,Ele,text_evaluator,PLL_roberta-base
mean_TF,Ele,text_evaluator,PLL_roberta-large
mean_TF,Ele,lexile,PLL_bert-base-uncased
mean_TF,Ele,lexile,PLL_bert-large-uncased
mean_TF,Ele,lexile,PLL_roberta-base
mean_TF,Ele,lexile,PLL_roberta-large
mean_TF,Ele,PLL_bert-base-uncased,cpidr_density
mean_TF,Ele,PLL_bert-base-uncased,avg_integration_cost
mean_TF,Ele,PLL_bert-base-uncased,avg_embedding_depth
mean_TF,Ele,PLL_bert-base-uncased,mean_entropy_pythia
mean_TF,Ele,PLL_bert-base-uncased,word_length
mean_TF,Ele,PLL_bert-base-uncased,wordFreq_frequency
mean_TF,Ele,PLL_bert-base-uncased,depid_density
mean_TF,Ele,PLL_bert-base-uncased,max_embedding_depth
mean_TF,Ele,PLL_bert-base-uncased,max_integration_cost
mean_TF,Ele,PLL_bert-base-uncased,total_integration_cost
mean_TF,Ele,PLL_bert-base-uncased,CAREC_M
mean_TF,Ele,PLL_bert-base-uncased,mean_entropy_gpt2
mean_TF,Ele,PLL_bert-base-uncased,PLL_bert-large-uncased
mean_TF,Ele,PLL_bert-base-uncased,PLL_roberta-base
mean_TF,Ele,PLL_bert-base-uncased,PLL_roberta-large
mean_TF,Ele,PLL_bert-base-uncased,llama-3.3-70b-versatile_simple_prompt
mean_TF,Ele,PLL_bert-base-uncased,gpt-4o_simple_prompt
mean_TF,Ele,PLL_bert-base-uncased,gpt-5_simple_prompt
mean_TF,Ele,PLL_bert-base-uncased,gemini-2.0-flash_simple_prompt
mean_TF,Ele,PLL_bert-base-uncased,gemini-2.5-pro_simple_prompt
mean_TF,Ele,PLL_bert-base-uncased,claude-sonnet-4-0_simple_prompt
mean_TF,Ele,PLL_bert-base-uncased,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Ele,PLL_bert-base-uncased,gpt-4o_clear_specific_prompt
mean_TF,Ele,PLL_bert-base-uncased,gpt-5_clear_specific_prompt
mean_TF,Ele,PLL_bert-base-uncased,gemini-2.0-flash_clear_specific_prompt
mean_TF,Ele,PLL_bert-base-uncased,gemini-2.5-pro_clear_specific_prompt
mean_TF,Ele,PLL_bert-base-uncased,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Ele,PLL_bert-base-uncased,Pythia 70M Mean
mean_TF,Ele,cpidr_density,PLL_bert-large-uncased
mean_TF,Ele,cpidr_density,PLL_roberta-base
mean_TF,Ele,cpidr_density,PLL_roberta-large
mean_TF,Ele,avg_integration_cost,PLL_bert-large-uncased
mean_TF,Ele,avg_integration_cost,PLL_roberta-base
mean_TF,Ele,avg_integration_cost,PLL_roberta-large
mean_TF,Ele,avg_embedding_depth,PLL_bert-large-uncased
mean_TF,Ele,avg_embedding_depth,PLL_roberta-base
mean_TF,Ele,avg_embedding_depth,PLL_roberta-large
mean_TF,Ele,mean_entropy_pythia,PLL_bert-large-uncased
mean_TF,Ele,mean_entropy_pythia,PLL_roberta-base
mean_TF,Ele,mean_entropy_pythia,PLL_roberta-large
mean_TF,Ele,word_length,PLL_bert-large-uncased
mean_TF,Ele,word_length,PLL_roberta-base
mean_TF,Ele,word_length,PLL_roberta-large
mean_TF,Ele,wordFreq_frequency,PLL_bert-large-uncased
mean_TF,Ele,wordFreq_frequency,PLL_roberta-base
mean_TF,Ele,wordFreq_frequency,PLL_roberta-large
mean_TF,Ele,depid_density,PLL_bert-large-uncased
mean_TF,Ele,depid_density,PLL_roberta-base
mean_TF,Ele,depid_density,PLL_roberta-large
mean_TF,Ele,max_embedding_depth,PLL_bert-large-uncased
mean_TF,Ele,max_embedding_depth,PLL_roberta-base
mean_TF,Ele,max_embedding_depth,PLL_roberta-large
mean_TF,Ele,max_integration_cost,PLL_bert-large-uncased
mean_TF,Ele,max_integration_cost,PLL_roberta-base
mean_TF,Ele,max_integration_cost,PLL_roberta-large
mean_TF,Ele,total_integration_cost,PLL_bert-large-uncased
mean_TF,Ele,total_integration_cost,PLL_roberta-base
mean_TF,Ele,total_integration_cost,PLL_roberta-large
mean_TF,Ele,CAREC_M,PLL_bert-large-uncased
mean_TF,Ele,CAREC_M,PLL_roberta-base
mean_TF,Ele,CAREC_M,PLL_roberta-large
mean_TF,Ele,mean_entropy_gpt2,PLL_bert-large-uncased
mean_TF,Ele,mean_entropy_gpt2,PLL_roberta-base
mean_TF,Ele,mean_entropy_gpt2,PLL_roberta-large
mean_TF,Ele,PLL_bert-large-uncased,PLL_roberta-base
mean_TF,Ele,PLL_bert-large-uncased,PLL_roberta-large
mean_TF,Ele,PLL_bert-large-uncased,llama-3.3-70b-versatile_simple_prompt
mean_TF,Ele,PLL_bert-large-uncased,gpt-4o_simple_prompt
mean_TF,Ele,PLL_bert-large-uncased,gpt-5_simple_prompt
mean_TF,Ele,PLL_bert-large-uncased,gemini-2.0-flash_simple_prompt
mean_TF,Ele,PLL_bert-large-uncased,gemini-2.5-pro_simple_prompt
mean_TF,Ele,PLL_bert-large-uncased,claude-sonnet-4-0_simple_prompt
mean_TF,Ele,PLL_bert-large-uncased,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Ele,PLL_bert-large-uncased,gpt-4o_clear_specific_prompt
mean_TF,Ele,PLL_bert-large-uncased,gpt-5_clear_specific_prompt
mean_TF,Ele,PLL_bert-large-uncased,gemini-2.0-flash_clear_specific_prompt
mean_TF,Ele,PLL_bert-large-uncased,gemini-2.5-pro_clear_specific_prompt
mean_TF,Ele,PLL_bert-large-uncased,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Ele,PLL_bert-large-uncased,Pythia 70M Mean
mean_TF,Ele,PLL_roberta-base,PLL_roberta-large
mean_TF,Ele,PLL_roberta-base,llama-3.3-70b-versatile_simple_prompt
mean_TF,Ele,PLL_roberta-base,gpt-4o_simple_prompt
mean_TF,Ele,PLL_roberta-base,gpt-5_simple_prompt
mean_TF,Ele,PLL_roberta-base,gemini-2.0-flash_simple_prompt
mean_TF,Ele,PLL_roberta-base,gemini-2.5-pro_simple_prompt
mean_TF,Ele,PLL_roberta-base,claude-sonnet-4-0_simple_prompt
mean_TF,Ele,PLL_roberta-base,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Ele,PLL_roberta-base,gpt-4o_clear_specific_prompt
mean_TF,Ele,PLL_roberta-base,gpt-5_clear_specific_prompt
mean_TF,Ele,PLL_roberta-base,gemini-2.0-flash_clear_specific_prompt
mean_TF,Ele,PLL_roberta-base,gemini-2.5-pro_clear_specific_prompt
mean_TF,Ele,PLL_roberta-base,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Ele,PLL_roberta-base,Pythia 70M Mean
mean_TF,Ele,PLL_roberta-large,llama-3.3-70b-versatile_simple_prompt
mean_TF,Ele,PLL_roberta-large,gpt-4o_simple_prompt
mean_TF,Ele,PLL_roberta-large,gpt-5_simple_prompt
mean_TF,Ele,PLL_roberta-large,gemini-2.0-flash_simple_prompt
mean_TF,Ele,PLL_roberta-large,gemini-2.5-pro_simple_prompt
mean_TF,Ele,PLL_roberta-large,claude-sonnet-4-0_simple_prompt
mean_TF,Ele,PLL_roberta-large,llama-3.3-70b-versatile_clear_specific_prompt
mean_TF,Ele,PLL_roberta-large,gpt-4o_clear_specific_prompt
mean_TF,Ele,PLL_roberta-large,gpt-5_clear_specific_prompt
mean_TF,Ele,PLL_roberta-large,gemini-2.0-flash_clear_specific_prompt
mean_TF,Ele,PLL_roberta-large,gemini-2.5-pro_clear_specific_prompt
mean_TF,Ele,PLL_roberta-large,claude-sonnet-4-0_clear_specific_prompt
mean_TF,Ele,PLL_roberta-large,Pythia 70M Mean
mean_TF,diff,flesch_reading_ease,PLL_bert-base-uncased
mean_TF,diff,flesch_reading_ease,PLL_bert-large-uncased
mean_TF,diff,flesch_reading_ease,PLL_roberta-base
mean_TF,diff,flesch_reading_ease,PLL_roberta-large
mean_TF,diff,dale_chall_score,PLL_bert-base-uncased
mean_TF,diff,dale_chall_score,PLL_bert-large-uncased
mean_TF,diff,dale_chall_score,PLL_roberta-base
mean_TF,diff,dale_chall_score,PLL_roberta-large
mean_TF,diff,gunning_fog_index,PLL_bert-base-uncased
mean_TF,diff,gunning_fog_index,PLL_bert-large-uncased
mean_TF,diff,gunning_fog_index,PLL_roberta-base
mean_TF,diff,gunning_fog_index,PLL_roberta-large
mean_TF,diff,ARI,PLL_bert-base-uncased
mean_TF,diff,ARI,PLL_bert-large-uncased
mean_TF,diff,ARI,PLL_roberta-base
mean_TF,diff,ARI,PLL_roberta-large
mean_TF,diff,smog_index,PLL_bert-base-uncased
mean_TF,diff,smog_index,PLL_bert-large-uncased
mean_TF,diff,smog_index,PLL_roberta-base
mean_TF,diff,smog_index,PLL_roberta-large
mean_TF,diff,coleman_liau_index,PLL_bert-base-uncased
mean_TF,diff,coleman_liau_index,PLL_bert-large-uncased
mean_TF,diff,coleman_liau_index,PLL_roberta-base
mean_TF,diff,coleman_liau_index,PLL_roberta-large
mean_TF,diff,flesch_kincaid_grade_score,PLL_bert-base-uncased
mean_TF,diff,flesch_kincaid_grade_score,PLL_bert-large-uncased
mean_TF,diff,flesch_kincaid_grade_score,PLL_roberta-base
mean_TF,diff,flesch_kincaid_grade_score,PLL_roberta-large
mean_TF,diff,CML2RI,PLL_bert-base-uncased
mean_TF,diff,CML2RI,PLL_bert-large-uncased
mean_TF,diff,CML2RI,PLL_roberta-base
mean_TF,diff,CML2RI,PLL_roberta-large
mean_TF,diff,CAREC,PLL_bert-base-uncased
mean_TF,diff,CAREC,PLL_bert-large-uncased
mean_TF,diff,CAREC,PLL_roberta-base
mean_TF,diff,CAREC,PLL_roberta-large
mean_TF,diff,CARES,PLL_bert-base-uncased
mean_TF,diff,CARES,PLL_bert-large-uncased
mean_TF,diff,CARES,PLL_roberta-base
mean_TF,diff,CARES,PLL_roberta-large
mean_TF,diff,SBERT,PLL_bert-base-uncased
mean_TF,diff,SBERT,PLL_bert-large-uncased
mean_TF,diff,SBERT,PLL_roberta-base
mean_TF,diff,SBERT,PLL_roberta-large
mean_TF,diff,llama-3.3-70b-versatile_clear_prompt,PLL_bert-base-uncased
mean_TF,diff,llama-3.3-70b-versatile_clear_prompt,PLL_bert-large-uncased
mean_TF,diff,llama-3.3-70b-versatile_clear_prompt,PLL_roberta-base
mean_TF,diff,llama-3.3-70b-versatile_clear_prompt,PLL_roberta-large
mean_TF,diff,gpt-4o_clear_prompt,PLL_bert-base-uncased
mean_TF,diff,gpt-4o_clear_prompt,PLL_bert-large-uncased
mean_TF,diff,gpt-4o_clear_prompt,PLL_roberta-base
mean_TF,diff,gpt-4o_clear_prompt,PLL_roberta-large
mean_TF,diff,gpt-5_clear_prompt,PLL_bert-base-uncased
mean_TF,diff,gpt-5_clear_prompt,PLL_bert-large-uncased
mean_TF,diff,gpt-5_clear_prompt,PLL_roberta-base
mean_TF,diff,gpt-5_clear_prompt,PLL_roberta-large
mean_TF,diff,gemini-2.0-flash_clear_prompt,PLL_bert-base-uncased
mean_TF,diff,gemini-2.0-flash_clear_prompt,PLL_bert-large-uncased
