metric,resolution,level_type,corr_kind,n_iter,mean_r,ci_low,ci_high,ci_low_tstd,ci_high_tstd,sb_mean_r,sb_ci_low,sb_ci_high,sb_ci_low_tstd,sb_ci_high_tstd,mean_n_texts
mean_GD,sentence,Adv+Ele,spearman,1000,0.7818671029729632,0.5996366382600422,0.8859086500915343,0.6338439500625068,0.9298902558834197,0.8754785703721093,0.7497160590198245,0.9395032469187616,0.7776974552949982,0.9732596854492204,1580.0
mean_GD,sentence,diff,pearson,1000,0.4774184950487656,0.021514911960369858,0.7617325661105503,0.07727578645999883,0.8775612036375324,0.6160149732030871,0.042118580486122346,0.8647539141272659,0.17638254978336987,1.0556473966228044,790.0
mean_GD,sentence,diff,spearman,1000,0.4000807043527468,-0.05992232123347998,0.7139179780812523,-0.029558264160130576,0.8297196728656242,0.5304032164958055,-0.1274837760064667,0.8330830116121908,0.0015211881483179202,1.059285244843293,790.0
mean_HigherPassFixation,paragraph,Adv+Ele,pearson,1000,0.7019635930650004,0.5501813724586401,0.8055228441609221,0.5694407398482455,0.8344864462817554,0.8229647900718817,0.7098283839416074,0.8922876194718892,0.7276049924953526,0.9183245876484109,324.0
mean_HigherPassFixation,paragraph,Adv+Ele,spearman,1000,0.687903611265469,0.5267583992661393,0.7947009693666042,0.5509989269000773,0.8248082956308606,0.8129962280993757,0.6900350165188522,0.8856082242265659,0.7128847774826884,0.9131076787160629,324.0
mean_HigherPassFixation,paragraph,diff,pearson,1000,0.2552654683918468,-0.12194210011549213,0.5386996395843398,-0.08946806301668142,0.599998999800375,0.3706351135123798,-0.27775525569943105,0.7002011240960003,-0.1498379287983182,0.8911081558230778,162.0
mean_HigherPassFixation,paragraph,diff,spearman,1000,0.17476576328643542,-0.20093386455082904,0.46171748092260223,-0.1691885898422583,0.5187201164151292,0.25386856120979806,-0.5029221993386175,0.6317465244506937,-0.3377727931855843,0.8455099156051804,162.0
mean_HigherPassFixation,sentence,Adv+Ele,pearson,1000,0.6977804637210142,0.6293427901532519,0.7409602029326924,0.6394641262708561,0.7560968011711723,0.8216243098300816,0.7725112132731237,0.8512086608369,0.7804124589148297,0.8628361607453335,1580.0
mean_HigherPassFixation,sentence,Adv+Ele,spearman,1000,0.6791835676630863,0.6068677293659865,0.7251280270937701,0.6189323998839844,0.7394347354421882,0.8085396139181183,0.7553424739008147,0.8406657541271023,0.7649726045965956,0.8521066232396411,1580.0
mean_HigherPassFixation,sentence,diff,pearson,1000,0.2535343896069641,0.07287689636681027,0.37319383559465014,0.0937858718362545,0.4132829073776737,0.3972702757995036,0.1358526663701795,0.5435413786557397,0.17678679383062335,0.6177537577683838,790.0
